model,correction_family,calibration_scope,uses_scored_target,n_eval,rmse_mv,mae_mv,max_abs_mv,bias_mv,nrmse,ocv_curve,s0,soc_min,soc_max,init_cost
ocv_curve_discharge,ocv_curve_switch,prefix_0_300s,False,47086,436.5653478288773,243.46159645083506,1315.4671542133422,233.95348820370864,1.0955378846143384,discharge,0.98,0.2143915247127619,0.98,1.4208335719404248
ocv_curve_mean,ocv_curve_switch,prefix_0_300s,False,47086,452.87231752428625,260.5076931701161,1345.0185593317437,259.30301259116,1.136459371336599,mean,0.98,0.2143915247127619,0.98,1.2440576480857284
ocv_curve_charge,ocv_curve_switch,prefix_0_300s,False,47086,470.0146950657252,285.22985525477463,1374.5699644501462,284.65253697861135,1.1794772703118739,charge,0.98,0.2143915247127619,0.98,1.067464346225535
