soc_delta,soc_min,soc_max,score_bias_offset_mv,rmse_no_bias_mv,bias_no_bias_mv,rmse_with_score_bias_mv,bias_with_score_bias_mv
0.0,0.2143915247127619,0.98,233.95348820370864,436.5653478288773,233.95348820370864,368.5852252631212,3.8631215298514557e-14
0.005,0.2193915247127619,0.985,234.99610982317003,437.64015488641155,234.99610982317003,369.19606381566274,1.7384046884331552e-13
0.01,0.22439152471276191,0.99,236.0524866970027,438.7735703470287,236.0524866970027,369.8668267893733,1.1589364589554367e-13
0.015,0.22939152471276192,0.995,237.09357544791544,439.9006254721119,237.09357544791544,370.53906241053585,1.1589364589554367e-13
0.02,0.2343915247127619,0.999,238.10668298290258,440.99197530306157,238.10668298290258,371.18611207933895,1.9315607649257278e-13
0.025,0.2393915247127619,0.999,239.09150269949424,442.0546746570045,239.09150269949424,371.8166063034408,1.9315607649257278e-14
0.03,0.2443915247127619,0.999,240.01969605177212,442.9983304125598,240.01969605177212,372.34133030799904,1.3520925354480096e-13
0.035,0.2493915247127619,0.999,240.92513540520008,443.9123270064585,240.92513540520008,372.84478432489163,-1.7384046884331552e-13
0.04,0.2543915247127619,0.999,241.7876167762356,444.7324791438922,241.7876167762356,373.26361512896045,1.9315607649257278e-14
0.045,0.2593915247127619,0.999,242.63179594315852,445.5386159476307,242.63179594315852,373.6769592815804,0.0
0.05,0.2643915247127619,0.999,243.44907776542632,446.31346472336037,243.44907776542632,374.0698535414658,2.1247168414183007e-13
0.055,0.2693915247127619,0.999,244.24851392777893,447.06895644706475,244.24851392777893,374.45068468723497,1.3520925354480096e-13
0.06,0.2743915247127619,0.999,244.99541383409766,447.7344002843887,244.99541383409766,374.7577089244203,1.3520925354480096e-13
0.065,0.2793915247127619,0.999,245.72837432436913,448.3895731550736,245.72837432436913,375.0610288554276,7.726243059702911e-14
0.07,0.2843915247127619,0.999,246.45217136860373,449.0165737009119,246.45217136860373,375.33613026966486,-1.5452486119405823e-13
0.075,0.2893915247127619,0.999,247.18607299171256,449.64945008835986,247.18607299171256,375.61106650856306,1.9315607649257278e-13
