s0,q_assumed_ah,soc_min,soc_max,score_bias_offset_mv,rmse_no_bias_mv,bias_no_bias_mv,rmse_with_score_bias_mv,bias_with_score_bias_mv
0.65,1.6,0.001,0.65,-59.64092843168051,345.4891964952882,-59.64092843168051,340.30243100919364,-1.5452486119405823e-13
0.66,1.6,0.001,0.66,-56.86527707265761,343.7994249904146,-56.86527707265761,339.0639834709514,-1.8349827266794416e-13
0.67,1.6,0.001,0.67,-54.2155410618015,342.20938681756036,-54.2155410618015,337.8874657832497,1.7384046884331552e-13
0.68,1.6,0.001,0.68,-50.17383533565972,338.77761918265196,-50.17383533565972,335.0415817578111,6.760462677240048e-14
0.69,1.6,0.001,0.69,-46.70311861410178,336.20468964989647,-46.70311861410178,332.9450586122286,-2.1247168414183007e-13
0.7,1.6,0.001,0.7,-43.59619198962669,334.1462215309676,-43.59619198962669,331.2900080102418,1.3520925354480096e-13
0.71,1.6,0.001,0.71,-40.577077718292315,332.18849128453456,-40.577077718292315,329.70091674992193,-2.1247168414183007e-13
0.72,1.6,0.001,0.72,-37.71787626910418,330.39417855037743,-37.71787626910418,328.2341771201275,-1.9315607649257278e-14
0.73,1.6,0.001,0.73,-34.9767821083176,328.72012778614004,-34.9767821083176,326.8540150052978,-5.794682294777183e-14
0.74,1.6,0.001,0.74,-31.396194968688977,325.83384385528865,-31.396194968688977,324.31770340670687,2.0281388031720143e-13
0.75,1.6,0.001,0.75,-27.683451412307708,322.87083192240436,-27.683451412307708,321.68183135540596,-5.794682294777183e-14
0.76,1.6,0.001,0.76,-24.432347144154186,320.6209178987433,-24.432347144154186,319.68865073264686,1.3520925354480096e-13
0.77,1.6,0.001,0.77,-21.348287409044364,318.6068957863206,-21.348287409044364,317.8908691159533,-1.0623584207091504e-13
0.78,1.6,0.001,0.78,-18.374933655535195,316.71198414460326,-18.374933655535195,316.1784981841208,3.8631215298514557e-14
0.79,1.6,0.001,0.79,-15.572825946194934,315.01099557801695,-15.572825946194934,314.6258324217879,2.0281388031720143e-13
0.8,1.6,0.001,0.8,-12.45047237388465,312.794398616751,-12.45047237388465,312.54651100865294,8.209133250934344e-14
0.81,1.6,0.001,0.81,-8.452199180200699,309.4782435165796,-8.452199180200699,309.36280244904293,2.0764278222951574e-13
0.82,1.6,0.001,0.82,-5.020627180561416,307.067610019078,-5.020627180561416,307.02656306180154,-1.4003815545711527e-13
0.83,1.6,0.001,0.83,-1.8675946280368578,305.0728228136451,-1.8675946280368578,305.06710624023526,4.8289019123143196e-15
0.84,1.6,0.001,0.84,1.2389771346874043,303.1385075155424,1.2389771346874043,303.1359755529032,1.7384046884331552e-13
0.85,1.6,0.001,0.85,4.172460502391032,301.4208680284368,4.172460502391032,301.39198771097466,6.760462677240048e-14
0.86,1.6,0.001,0.86,7.013923996440275,299.8152023408265,7.013923996440275,299.73314869203716,-1.3520925354480096e-13
0.87,1.6,0.001,0.87,11.245929032572718,296.34241871365145,11.245929032572718,296.12895537122245,-1.1106474398322935e-13
0.88,1.6,0.001,0.88,14.975616762215436,293.72225796588106,14.975616762215436,293.34023884759966,1.6418266501868687e-13
