model,baseline_model,split,baseline_rmse_mv,model_rmse_mv,improvement_percent
BATT4a_R0_slot_filtered_T_SOC_STLSQ_dense,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.54380208576265,-0.17089794002765257
BATT4a_R0_slot_filtered_T_SOC_STLSQ_dense,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,24.644900399449835,29.89993241882324
BATT4a_R0_slot_filtered_T_SOC_STLSQ_dense,BATT3c_constant_ecm,train,52.442672171675596,41.53040975207831,20.80798320855019
BATT4a_R0_slot_filtered_T_SOC_STLSQ_dense,BATT3c_constant_ecm,validation_temperature,79.30612770895797,71.47443294001609,9.875270669730686
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.01,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.54380208576265,-0.17089794002765257
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.01,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,24.644900399449835,29.89993241882324
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.01,BATT3c_constant_ecm,train,52.442672171675596,41.53040975207831,20.80798320855019
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.01,BATT3c_constant_ecm,validation_temperature,79.30612770895797,71.47443294001609,9.875270669730686
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.05,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.6435772917556,-0.19379271468419906
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.05,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,27.184160313577383,22.677249888100256
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.05,BATT3c_constant_ecm,train,52.442672171675596,59.88783607918824,-14.196766867905318
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.05,BATT3c_constant_ecm,validation_temperature,79.30612770895797,91.38858065613626,-15.235207286275708
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.1,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.6435772917556,-0.19379271468419906
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.1,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,27.184160313577383,22.677249888100256
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.1,BATT3c_constant_ecm,train,52.442672171675596,59.88783607918824,-14.196766867905318
BATT4a_R0_slot_filtered_T_SOC_STLSQ_t0.1,BATT3c_constant_ecm,validation_temperature,79.30612770895797,91.38858065613626,-15.235207286275708
BATT4a_R0_slot_filtered_T_only_STLSQ_dense,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.5653478288773,-0.17584190309451336
BATT4a_R0_slot_filtered_T_only_STLSQ_dense,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,24.06134807798182,31.55979131494496
BATT4a_R0_slot_filtered_T_only_STLSQ_dense,BATT3c_constant_ecm,train,52.442672171675596,41.513438621810174,20.840344508166247
BATT4a_R0_slot_filtered_T_only_STLSQ_dense,BATT3c_constant_ecm,validation_temperature,79.30612770895797,71.83994372929314,9.414384733377286
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.01,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.5653478288773,-0.17584190309451336
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.01,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,24.06134807798182,31.55979131494496
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.01,BATT3c_constant_ecm,train,52.442672171675596,41.513438621810174,20.840344508166247
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.01,BATT3c_constant_ecm,validation_temperature,79.30612770895797,71.83994372929314,9.414384733377286
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.05,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.6435772917556,-0.19379271468419906
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.05,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,27.184160313577383,22.677249888100256
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.05,BATT3c_constant_ecm,train,52.442672171675596,59.88783607918824,-14.196766867905318
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.05,BATT3c_constant_ecm,validation_temperature,79.30612770895797,91.38858065613626,-15.235207286275708
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.1,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.6435772917556,-0.19379271468419906
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.1,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,27.184160313577383,22.677249888100256
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.1,BATT3c_constant_ecm,train,52.442672171675596,59.88783607918824,-14.196766867905318
BATT4a_R0_slot_filtered_T_only_STLSQ_t0.1,BATT3c_constant_ecm,validation_temperature,79.30612770895797,91.38858065613626,-15.235207286275708
