current_convention,model,split,record,filename,temperature_c,amplitude_token,n_score,init_method,s0,v10,soc_min,soc_max,stable_fraction,rmse_mv,mae_mv,max_abs_mv,bias_mv,nrmse
I_model=-I_raw,ocv_only,validation_temperature,A002_05_-15C,DYNdata/A002_DYN/A002_DYN_05_N15.mat,-15,5,37360,prefix_output_error,0.98,0.0,0.10180357360222536,0.98,1.0,105.54244419502837,72.07655471378447,501.83377163183707,36.32182969921062,0.569546663912878
I_model=-I_raw,ocv_only,train,A002_05_-25C,DYNdata/A002_DYN/A002_DYN_05_N25.mat,-25,5,39005,training_fit,0.8647274881028315,0.0,0.012459456136977742,0.8647274881028315,1.0,141.53469534270906,112.46821608564159,490.4080055779376,33.053997385528724,0.4025496137555002
I_model=-I_raw,ocv_only,validation_temperature,A002_05_+35C,DYNdata/A002_DYN/A002_DYN_05_P35.mat,35,5,37360,prefix_output_error,0.98,0.0,0.10327855413367737,0.98,1.0,13.656201984061772,9.123845797123934,241.07267976905166,-5.2276545763436015,0.37129908754152835
I_model=-I_raw,ocv_only,train,A002_10_-5C,DYNdata/A002_DYN/A002_DYN_10_N05.mat,-5,10,37360,training_fit,0.950779876894667,0.0,0.06964934955237456,0.950779876894667,1.0,36.85323583937258,25.108577854521116,276.2729991776358,6.276938780878594,0.5965920493056002
I_model=-I_raw,ocv_only,validation_temperature,A002_10_-15C,DYNdata/A002_DYN/A002_DYN_10_N15.mat,-15,10,37360,prefix_output_error,0.98,0.0,0.1039873313569255,0.98,1.0,95.1099489941363,65.87438399874443,464.9334742834941,24.992261616816208,0.5548292023130998
I_model=-I_raw,ocv_only,train,A002_10_+5C,DYNdata/A002_DYN/A002_DYN_10_P05.mat,5,10,37360,training_fit,0.9756435728788649,0.0,0.10125578811619895,0.9756435728788649,1.0,22.107828538392067,14.125727982607529,248.98581708914813,4.675211512658534,0.5484220546904548
I_model=-I_raw,ocv_only,train,A002_10_+15C,DYNdata/A002_DYN/A002_DYN_10_P15.mat,15,10,37360,training_fit,0.98,0.0,0.09914780216934027,0.98,1.0,15.830979381891302,9.520329363294415,253.5414695739746,2.393187381924237,0.4116916178645615
I_model=-I_raw,ocv_only,train,A002_10_+45C,DYNdata/A002_DYN/A002_DYN_10_P45.mat,45,10,37360,training_fit,0.985844318592286,0.0,0.10765892507700536,0.985844318592286,1.0,11.3528365562569,6.181516922950093,245.90529182445397,-1.4529227988400968,0.29244719849016115
I_model=-I_raw,ocv_only,train,A002_15_-5C,DYNdata/A002_DYN/A002_DYN_15_N05.mat,-5,15,37360,training_fit,0.9541892222150338,0.0,0.07958741548464654,0.9541892222150338,1.0,43.18095822850254,28.513267826774687,274.3891161661414,9.162920432706306,0.6704475525110455
I_model=-I_raw,ocv_only,validation_temperature,A002_15_-15C,DYNdata/A002_DYN/A002_DYN_15_N15.mat,-15,15,37360,prefix_output_error,0.98,0.0,0.10636804492140428,0.98,1.0,100.1911050057686,70.47168627078379,509.9979237211567,22.527691244879417,0.5867332163677726
I_model=-I_raw,ocv_only,validation_temperature,A002_20_-15C,DYNdata/A002_DYN/A002_DYN_20_N15.mat,-15,20,37360,prefix_output_error,0.98,0.0,0.10588108887532754,0.98,1.0,106.53405123471686,74.44585100242045,554.2883876815328,17.08958009950935,0.6127619784664167
I_model=-I_raw,ocv_only,train,A002_20_+25C,DYNdata/A002_DYN/A002_DYN_20_P25.mat,25,20,37360,training_fit,0.9875440400104094,0.0,0.11008580563477899,0.9875440400104094,1.0,16.08284510221273,10.519400685598905,224.39885139465332,-1.136608679071602,0.42648101582091597
I_model=-I_raw,ocv_only,test_high_amplitude,A002_50_+25C,DYNdata/A002_DYN/A002_DYN_50_P25.mat,25,50,39460,prefix_output_error,0.98,0.0,0.15983632560968197,0.98,1.0,27.184160313577383,15.758196112735444,261.43831964685836,1.2238888393901661,0.6031502289921341
I_model=-I_raw,ocv_only,test_cell_transfer,A003_25_+25C,DYNdata/A002_DYN/A003_DYN_25_P25.mat,25,25,47086,prefix_output_error,0.98,0.0,0.2143915247127619,0.98,1.0,436.6435772917556,243.88625112359298,1319.0429218692973,234.23270696471732,1.0957341973558385
I_model=-I_raw,ohmic_only,validation_temperature,A002_05_-15C,DYNdata/A002_DYN/A002_DYN_05_N15.mat,-15,5,37360,prefix_output_error,0.98,0.0,0.10180357360222536,0.98,1.0,105.54244427954434,72.07655477572584,501.8337721813295,36.321829753339415,0.569546664368958
I_model=-I_raw,ohmic_only,train,A002_05_-25C,DYNdata/A002_DYN/A002_DYN_05_N25.mat,-25,5,39005,training_fit,0.8647355376772858,0.0,0.01246750571143207,0.8647355376772858,1.0,141.537200011543,112.46842058608047,490.4429882388461,33.068376431822436,0.4025567374750183
I_model=-I_raw,ohmic_only,validation_temperature,A002_05_+35C,DYNdata/A002_DYN/A002_DYN_05_P35.mat,35,5,37360,prefix_output_error,0.98,0.0,0.10327855413367737,0.98,1.0,13.65620204164745,9.123845832484562,241.07267976905166,-5.22765452231473,0.371299089107228
I_model=-I_raw,ohmic_only,train,A002_10_-5C,DYNdata/A002_DYN/A002_DYN_10_N05.mat,-5,10,37360,training_fit,0.9507800508188492,0.0,0.06964952347655673,0.9507800508188492,1.0,36.85324128246256,25.108577940363467,276.2729775341839,6.2770037629805495,0.5965921374200935
I_model=-I_raw,ohmic_only,validation_temperature,A002_10_-15C,DYNdata/A002_DYN/A002_DYN_10_N15.mat,-15,10,37360,prefix_output_error,0.98,0.0,0.1039873313569255,0.98,1.0,95.10994908434232,65.87438406020978,464.9334748534151,24.99226167081692,0.5548292028393218
I_model=-I_raw,ohmic_only,train,A002_10_+5C,DYNdata/A002_DYN/A002_DYN_10_P05.mat,5,10,37360,training_fit,0.9756371803114838,0.0,0.10124939554881784,0.9756371803114838,1.0,22.107713525028732,14.125678073010837,248.99116099251682,4.673921138468669,0.5484192015895758
I_model=-I_raw,ohmic_only,train,A002_10_+15C,DYNdata/A002_DYN/A002_DYN_10_P15.mat,15,10,37360,training_fit,0.9797753292749465,0.0,0.09892313144428677,0.9797753292749465,1.0,15.832189335581758,9.521318847249802,253.74968704371747,2.3472903757588757,0.4117230832452147
I_model=-I_raw,ohmic_only,train,A002_10_+45C,DYNdata/A002_DYN/A002_DYN_10_P45.mat,45,10,37360,training_fit,0.9858224743532815,0.0,0.10763708083800083,0.9858224743532815,1.0,11.354001399669247,6.183158796836492,245.90529182445397,-1.4572389753426704,0.29247720466447125
I_model=-I_raw,ohmic_only,train,A002_15_-5C,DYNdata/A002_DYN/A002_DYN_15_N05.mat,-5,15,37360,training_fit,0.9529220040187794,0.0,0.07832019728839212,0.9529220040187794,1.0,43.088535907122704,28.527502074895533,274.546811178209,8.741197154971037,0.6690125607529053
I_model=-I_raw,ohmic_only,validation_temperature,A002_15_-15C,DYNdata/A002_DYN/A002_DYN_15_N15.mat,-15,15,37360,prefix_output_error,0.98,0.0,0.10636804492140428,0.98,1.0,100.19110512824248,70.47168634435924,509.9979245432604,22.5276912986878,0.5867332170849969
I_model=-I_raw,ohmic_only,validation_temperature,A002_20_-15C,DYNdata/A002_DYN/A002_DYN_20_N15.mat,-15,20,37360,prefix_output_error,0.98,0.0,0.10588108887532754,0.98,1.0,106.53405139330984,74.44585109083064,554.2883886596787,17.08958015337333,0.6127619793786109
I_model=-I_raw,ohmic_only,train,A002_20_+25C,DYNdata/A002_DYN/A002_DYN_20_P25.mat,25,20,37360,training_fit,0.9875245553513244,0.0,0.11006632097569402,0.9875245553513244,1.0,16.083644979836116,10.520728376695152,224.39885139465332,-1.1403270518815598,0.4265022267832293
I_model=-I_raw,ohmic_only,test_high_amplitude,A002_50_+25C,DYNdata/A002_DYN/A002_DYN_50_P25.mat,25,50,39460,prefix_output_error,0.98,0.0,0.15983632560968197,0.98,1.0,27.184160744762096,15.758196305525274,261.43831964685836,1.2238888875520706,0.6031502385590715
I_model=-I_raw,ohmic_only,test_cell_transfer,A003_25_+25C,DYNdata/A002_DYN/A003_DYN_25_P25.mat,25,25,47086,prefix_output_error,0.98,0.0,0.2143915247127619,0.98,1.0,436.64357730272764,243.8862511818604,1319.0429228870873,234.23270700225078,1.095734197383372
I_model=-I_raw,constant_ecm,validation_temperature,A002_05_-15C,DYNdata/A002_DYN/A002_DYN_05_N15.mat,-15,5,37360,prefix_output_error,0.98,-0.41787768316179197,0.10180357360222536,0.98,1.0,106.13144739089539,72.33698124072258,501.8419421035967,36.71207311373929,0.5727251463499551
I_model=-I_raw,constant_ecm,train,A002_05_-25C,DYNdata/A002_DYN/A002_DYN_05_N25.mat,-25,5,39005,training_fit,0.8647170688110227,-0.43719184523331367,0.01244903684516896,0.8647170688110227,1.0,142.36538433842517,112.73174539014077,490.37091020096216,33.425994147278914,0.40491223963720907
I_model=-I_raw,constant_ecm,validation_temperature,A002_05_+35C,DYNdata/A002_DYN/A002_DYN_05_P35.mat,35,5,37360,prefix_output_error,0.98,-0.4046449354409035,0.10327855413367737,0.98,1.0,13.468150510829009,9.279426824558138,175.57067997267285,-4.849576144172657,0.36618614761111024
I_model=-I_raw,constant_ecm,train,A002_10_-5C,DYNdata/A002_DYN/A002_DYN_10_N05.mat,-5,10,37360,training_fit,0.9507803581419603,-0.40525706163613995,0.0696498307996678,0.9507803581419603,1.0,37.53657167534719,25.339767250953102,210.30646427064693,6.65579165146488,0.6076541098672539
I_model=-I_raw,constant_ecm,validation_temperature,A002_10_-15C,DYNdata/A002_DYN/A002_DYN_10_N15.mat,-15,10,37360,prefix_output_error,0.98,-0.4749399222515488,0.1039873313569255,0.98,1.0,95.87322114420313,66.1677875234468,464.9415450423264,25.434896193522544,0.5592817930530601
I_model=-I_raw,constant_ecm,train,A002_10_+5C,DYNdata/A002_DYN/A002_DYN_10_P05.mat,5,10,37360,training_fit,0.9740903550126533,-0.367031949415928,0.0997025702499873,0.9740903550126533,1.0,22.65514877373074,14.316524920007371,191.0159310788009,4.703181494342314,0.5619992582370104
I_model=-I_raw,constant_ecm,train,A002_10_+15C,DYNdata/A002_DYN/A002_DYN_10_P15.mat,15,10,37360,training_fit,0.9799512310890928,-0.3780149481100022,0.09909903325843306,0.9799512310890928,1.0,16.103577941991297,9.705742874488005,192.38046852993085,2.7368703078278434,0.4187806639385833
I_model=-I_raw,constant_ecm,train,A002_10_+45C,DYNdata/A002_DYN/A002_DYN_10_P45.mat,45,10,37360,training_fit,0.9856417411074515,-0.37148657857211853,0.10745634759217082,0.9856417411074515,1.0,11.03108479937336,6.340663329936477,185.77109287528114,-1.1453141822938302,0.28415892626466
I_model=-I_raw,constant_ecm,train,A002_15_-5C,DYNdata/A002_DYN/A002_DYN_15_N05.mat,-5,15,37360,training_fit,0.9528840605925097,-0.4022414776687982,0.07828225386212251,0.9528840605925097,1.0,43.72956886699814,28.760386676888295,226.5754602602863,9.1043370885713,0.678965535319915
I_model=-I_raw,constant_ecm,validation_temperature,A002_15_-15C,DYNdata/A002_DYN/A002_DYN_15_N15.mat,-15,15,37360,prefix_output_error,0.98,-0.47315446960750623,0.10636804492140428,0.98,1.0,100.92405082566198,70.7639544128601,510.00595563523586,22.968663089622627,0.5910254502772059
I_model=-I_raw,constant_ecm,validation_temperature,A002_20_-15C,DYNdata/A002_DYN/A002_DYN_20_N15.mat,-15,20,37360,prefix_output_error,0.98,-0.45319606596972706,0.10588108887532754,0.98,1.0,107.2012215731253,74.72693261513712,554.2969458697806,17.512228604762306,0.616599405202743
I_model=-I_raw,constant_ecm,train,A002_20_+25C,DYNdata/A002_DYN/A002_DYN_20_P25.mat,25,20,37360,training_fit,0.9873730828420706,-0.3351919714958855,0.10991484846644017,0.9873730828420706,1.0,16.148036892981246,10.68488465613636,170.26708496568378,-0.8549769058165003,0.4282097560390454
I_model=-I_raw,constant_ecm,test_high_amplitude,A002_50_+25C,DYNdata/A002_DYN/A002_DYN_50_P25.mat,25,50,39460,prefix_output_error,0.98,-0.43828240090565884,0.15983632560968197,0.98,1.0,26.563523695560118,15.771809278341795,190.09799894281133,1.6107382264670538,0.5893798158559576
I_model=-I_raw,constant_ecm,test_cell_transfer,A003_25_+25C,DYNdata/A002_DYN/A003_DYN_25_P25.mat,25,25,47086,prefix_output_error,0.98,-0.4283944098737107,0.2143915247127619,0.98,1.0,436.5923057539074,243.71020790374865,1319.043797688975,234.54935996129228,1.0956055341158573
I_model=I_raw,ocv_only,validation_temperature,A002_05_-15C,DYNdata/A002_DYN/A002_DYN_05_N15.mat,-15,5,37360,prefix_output_error,0.98,0.0,0.10180357360222536,0.98,1.0,105.54244419502837,72.07655471378447,501.83377163183707,36.32182969921062,0.569546663912878
I_model=I_raw,ocv_only,train,A002_05_-25C,DYNdata/A002_DYN/A002_DYN_05_N25.mat,-25,5,39005,training_fit,0.8647274881028315,0.0,0.012459456136977742,0.8647274881028315,1.0,141.53469534270906,112.46821608564159,490.4080055779376,33.053997385528724,0.4025496137555002
I_model=I_raw,ocv_only,validation_temperature,A002_05_+35C,DYNdata/A002_DYN/A002_DYN_05_P35.mat,35,5,37360,prefix_output_error,0.98,0.0,0.10327855413367737,0.98,1.0,13.656201984061772,9.123845797123934,241.07267976905166,-5.2276545763436015,0.37129908754152835
I_model=I_raw,ocv_only,train,A002_10_-5C,DYNdata/A002_DYN/A002_DYN_10_N05.mat,-5,10,37360,training_fit,0.950779876894667,0.0,0.06964934955237456,0.950779876894667,1.0,36.85323583937258,25.108577854521116,276.2729991776358,6.276938780878594,0.5965920493056002
I_model=I_raw,ocv_only,validation_temperature,A002_10_-15C,DYNdata/A002_DYN/A002_DYN_10_N15.mat,-15,10,37360,prefix_output_error,0.98,0.0,0.1039873313569255,0.98,1.0,95.1099489941363,65.87438399874443,464.9334742834941,24.992261616816208,0.5548292023130998
I_model=I_raw,ocv_only,train,A002_10_+5C,DYNdata/A002_DYN/A002_DYN_10_P05.mat,5,10,37360,training_fit,0.9756435728788649,0.0,0.10125578811619895,0.9756435728788649,1.0,22.107828538392067,14.125727982607529,248.98581708914813,4.675211512658534,0.5484220546904548
I_model=I_raw,ocv_only,train,A002_10_+15C,DYNdata/A002_DYN/A002_DYN_10_P15.mat,15,10,37360,training_fit,0.98,0.0,0.09914780216934027,0.98,1.0,15.830979381891302,9.520329363294415,253.5414695739746,2.393187381924237,0.4116916178645615
I_model=I_raw,ocv_only,train,A002_10_+45C,DYNdata/A002_DYN/A002_DYN_10_P45.mat,45,10,37360,training_fit,0.985844318592286,0.0,0.10765892507700536,0.985844318592286,1.0,11.3528365562569,6.181516922950093,245.90529182445397,-1.4529227988400968,0.29244719849016115
I_model=I_raw,ocv_only,train,A002_15_-5C,DYNdata/A002_DYN/A002_DYN_15_N05.mat,-5,15,37360,training_fit,0.9541892222150338,0.0,0.07958741548464654,0.9541892222150338,1.0,43.18095822850254,28.513267826774687,274.3891161661414,9.162920432706306,0.6704475525110455
I_model=I_raw,ocv_only,validation_temperature,A002_15_-15C,DYNdata/A002_DYN/A002_DYN_15_N15.mat,-15,15,37360,prefix_output_error,0.98,0.0,0.10636804492140428,0.98,1.0,100.1911050057686,70.47168627078379,509.9979237211567,22.527691244879417,0.5867332163677726
I_model=I_raw,ocv_only,validation_temperature,A002_20_-15C,DYNdata/A002_DYN/A002_DYN_20_N15.mat,-15,20,37360,prefix_output_error,0.98,0.0,0.10588108887532754,0.98,1.0,106.53405123471686,74.44585100242045,554.2883876815328,17.08958009950935,0.6127619784664167
I_model=I_raw,ocv_only,train,A002_20_+25C,DYNdata/A002_DYN/A002_DYN_20_P25.mat,25,20,37360,training_fit,0.9875440400104094,0.0,0.11008580563477899,0.9875440400104094,1.0,16.08284510221273,10.519400685598905,224.39885139465332,-1.136608679071602,0.42648101582091597
I_model=I_raw,ocv_only,test_high_amplitude,A002_50_+25C,DYNdata/A002_DYN/A002_DYN_50_P25.mat,25,50,39460,prefix_output_error,0.98,0.0,0.15983632560968197,0.98,1.0,27.184160313577383,15.758196112735444,261.43831964685836,1.2238888393901661,0.6031502289921341
I_model=I_raw,ocv_only,test_cell_transfer,A003_25_+25C,DYNdata/A002_DYN/A003_DYN_25_P25.mat,25,25,47086,prefix_output_error,0.98,0.0,0.2143915247127619,0.98,1.0,436.6435772917556,243.88625112359298,1319.0429218692973,234.23270696471732,1.0957341973558385
I_model=I_raw,ohmic_only,validation_temperature,A002_05_-15C,DYNdata/A002_DYN/A002_DYN_05_N15.mat,-15,5,37360,prefix_output_error,0.98,0.0,0.10180357360222536,0.98,1.0,96.31003471837874,64.79456628893341,441.08500423123866,29.730998074326614,0.5197251152704492
