current_convention,model,split,n_score,rmse_mv,mae_mv,max_abs_mv,bias_mv,nrmse
I_model=-I_raw,constant_ecm,test_cell_transfer,47086,436.5923057539074,243.71020790374865,1319.043797688975,234.54935996129228,1.0956055341158573
I_model=-I_raw,constant_ecm,test_high_amplitude,39460,26.563523695560118,15.771809278341795,190.09799894281133,1.6107382264670538,0.5893798158559576
I_model=-I_raw,constant_ecm,train,263165,60.328107465842415,30.216137697826927,490.37091020096216,7.963858308360309,0.2975680607985078
I_model=-I_raw,constant_ecm,validation_temperature,186800,91.99425599227935,58.65501652334495,554.2969458697806,19.55565697149482,0.5464253366046131
I_model=-I_raw,ocv_only,test_cell_transfer,47086,436.6435772917556,243.88625112359298,1319.0429218692973,234.23270696471732,1.0957341973558385
I_model=-I_raw,ocv_only,test_high_amplitude,39460,27.184160313577383,15.758196112735444,261.43831964685836,1.2238888393901661,0.6031502289921341
I_model=-I_raw,ocv_only,train,263165,59.88782414017522,30.009681786605164,490.4080055779376,7.72684359595277,0.2953963656977641
I_model=-I_raw,ocv_only,validation_temperature,186800,91.38858065613626,58.39846435657141,554.2883876815328,19.1407416168144,0.5428277603662349
I_model=-I_raw,ohmic_only,test_cell_transfer,47086,436.64357730272764,243.8862511818604,1319.0429228870873,234.23270700225078,1.095734197383372
I_model=-I_raw,ohmic_only,test_high_amplitude,39460,27.184160744762096,15.758196305525274,261.43831964685836,1.2238888875520706,0.6031502385590715
I_model=-I_raw,ohmic_only,train,263165,59.87935231556944,30.01228781971092,490.4429882388461,7.6612748823451025,0.2953545784691362
I_model=-I_raw,ohmic_only,validation_temperature,186800,91.3885807599835,58.39846442072202,554.2883886596787,19.14074167078055,0.5428277609830644
I_model=I_raw,constant_ecm,test_cell_transfer,47086,435.7990305199436,243.6041992792394,1286.7264768538835,227.5922895337066,1.0936148514470296
I_model=I_raw,constant_ecm,test_high_amplitude,39460,35.15674271056976,19.555094427838277,199.74196578876933,-7.322716353200869,0.78004239130045
I_model=I_raw,constant_ecm,train,263165,52.442672171675596,25.858187745120837,432.16758717531746,0.4869851337294436,0.2586731942495134
I_model=I_raw,constant_ecm,validation_temperature,186800,79.30612770895797,52.233483250734345,445.4817489887657,9.538916939340881,0.4710606880913597
I_model=I_raw,ocv_only,test_cell_transfer,47086,436.6435772917556,243.88625112359298,1319.0429218692973,234.23270696471732,1.0957341973558385
I_model=I_raw,ocv_only,test_high_amplitude,39460,27.184160313577383,15.758196112735444,261.43831964685836,1.2238888393901661,0.6031502289921341
I_model=I_raw,ocv_only,train,263165,59.88782414017522,30.009681786605164,490.4080055779376,7.72684359595277,0.2953963656977641
I_model=I_raw,ocv_only,validation_temperature,186800,91.38858065613626,58.39846435657141,554.2883876815328,19.1407416168144,0.5428277603662349
I_model=I_raw,ohmic_only,test_cell_transfer,47086,436.2182971136297,244.36958470037442,1283.262758340078,229.66256028385905,1.0946669790137746
I_model=I_raw,ohmic_only,test_high_amplitude,39460,41.62984728742219,22.89408601161979,273.56976105273924,-4.640403157634785,0.9236647972450087
I_model=I_raw,ohmic_only,train,263165,53.25813135645518,26.176342134967044,423.3825962570439,2.1310866087597895,0.26269544222758207
I_model=I_raw,ohmic_only,validation_temperature,186800,80.47388633937413,52.38010633439122,442.72574662536226,12.569714067155475,0.47799691357430335
