trajectory_id,split,amplitude,phase,v0,t,u,v,dv
train_low_0,train_low,0.04,0,0,0,0,0,0
train_low_0,train_low,0.04,0,0,0.02,0.001065256179365715,1.064740107031683e-05,0.001064404324928158
train_low_0,train_low,0.04,0,0,0.04,0.002129889549445024,4.256067313919409e-05,0.002126483699317895
train_low_0,train_low,0.04,0,0,0.06,0.003193277873419108,9.568711403217176e-05,0.003185617868483449
train_low_0,train_low,0.04,0,0,0.08,0.004254800058802797,0.0001699616221374994,0.004241187241207647
train_low_0,train_low,0.04,0,0,0.1,0.005313836728108239,0.0002653067155515836,0.005292573477654788
train_low_0,train_low,0.04,0,0,0.12,0.006369770787706602,0.0003816325629988414,0.006339160078789467
train_low_0,train_low,0.04,0,0,0.14,0.00742198799429018,0.000518837026549512,0.007380332976643154
train_low_0,train_low,0.04,0,0,0.16,0.008469877518339889,0.0006768057161457214,0.008415481124760657
train_low_0,train_low,0.04,0,0,0.18,0.009512832504006344,0.0008554120559326408,0.009443997088149744
train_low_0,train_low,0.04,0,0,0.2,0.01055025062481662,0.001054517362377971,0.01046527763204922
train_low_0,train_low,0.04,0,0,0.22,0.01158153463462327,0.001273970934149211,0.01147872430882376
train_low_0,train_low,0.04,0,0,0.24,0.01260609291321744,0.001513610153704286,0.01248374404228753
train_low_0,train_low,0.04,0,0,0.26,0.0136233400060334,0.001773260600537074,0.01347974970875385
train_low_0,train_low,0.04,0,0,0.28,0.01463269715737863,0.002052736176005302,0.01446616071410365
train_low_0,train_low,0.04,0,0,0.3,0.01563359283663022,0.002351839239654081,0.01544240356616284
train_low_0,train_low,0.04,0,0,0.32,0.01662546325684613,0.00267036075693415,0.01640791244167671
train_low_0,train_low,0.04,0,0,0.34,0.01760775288524799,0.003008080458199639,0.01736212974716837
train_low_0,train_low,0.04,0,0,0.36,0.01857991494504101,0.003364767008855896,0.0183045066729694
train_low_0,train_low,0.04,0,0,0.38,0.01954141190804583,0.003740178190513735,0.01923450373971149
train_low_0,train_low,0.04,0,0,0.4,0.02049171597762703,0.004134061092992219,0.02015159133657133
train_low_0,train_low,0.04,0,0,0.42,0.02143030956141376,0.004546152316998,0.02105525025056478
train_low_0,train_low,0.04,0,0,0.44,0.02235668573331864,0.004976178187295219,0.02194497218619158
train_low_0,train_low,0.04,0,0,0.46,0.02327034868437289,0.005423854976166011,0.02282026027473824
train_low_0,train_low,0.04,0,0,0.48,0.02417081416190774,0.005888889136947962,0.02368062957255491
train_low_0,train_low,0.04,0,0,0.5,0.02505760989662451,0.006370977547421186,0.02452560754763046
train_low_0,train_low,0.04,0,0,0.52,0.02593027601710927,0.006869807762804346,0.02535473455380108
train_low_0,train_low,0.04,0,0,0.54,0.02678836545136106,0.007385058278105728,0.02616756429193854
