trajectory_id,split,x0,model,nrmse_all,nrmse_theta,nrmse_omega
train_medium_ic1,train_medium,"[-0.45, 0.0]",B1_full_sindy,1.752640152294555e-08,1.576115042007542e-08,1.925669577562816e-08
train_medium_ic1,train_medium,"[-0.45, 0.0]",B2_free_residual_sindy,1.753360513564082e-08,1.57884873079972e-08,1.9246628102961e-08
train_medium_ic1,train_medium,"[-0.45, 0.0]",B3_slot_constrained,1.110229397816995e-08,1.038036192831139e-08,1.184522970752051e-08
train_medium_ic1,train_medium,"[-0.45, 0.0]",B4_oracle_reference,0,0,0
train_medium_ic2,train_medium,"[0.7, 0.0]",B0_local_linear,0.1800971448123939,0.1741040378809393,0.1867334369674206
train_medium_ic2,train_medium,"[0.7, 0.0]",B0_gain_scheduled_lookup,0.02188571381179974,0.02028598597700489,0.02353629543197406
train_medium_ic2,train_medium,"[0.7, 0.0]",B1_full_sindy,1.342824325366537e-08,1.261300093602647e-08,1.428422797990753e-08
train_medium_ic2,train_medium,"[0.7, 0.0]",B2_free_residual_sindy,1.340438454794936e-08,1.258595923859577e-08,1.426326574365049e-08
train_medium_ic2,train_medium,"[0.7, 0.0]",B3_slot_constrained,1.058106401543695e-08,9.84548008301899e-09,1.134371088927645e-08
train_medium_ic2,train_medium,"[0.7, 0.0]",B4_oracle_reference,0,0,0
train_medium_ic3,train_medium,"[-0.8, 0.2]",B0_local_linear,0.249492443475629,0.2432833980613129,0.2562228695876947
train_medium_ic3,train_medium,"[-0.8, 0.2]",B0_gain_scheduled_lookup,0.00991433908379279,0.009665976601243376,0.01018342194770135
train_medium_ic3,train_medium,"[-0.8, 0.2]",B1_full_sindy,1.215393284131596e-08,1.216295928382531e-08,1.216171862181885e-08
train_medium_ic3,train_medium,"[-0.8, 0.2]",B2_free_residual_sindy,1.217141040117668e-08,1.217395483550964e-08,1.218605319147184e-08
train_medium_ic3,train_medium,"[-0.8, 0.2]",B3_slot_constrained,1.347738957016305e-08,1.348988734993205e-08,1.348339837039532e-08
train_medium_ic3,train_medium,"[-0.8, 0.2]",B4_oracle_reference,0,0,0
train_medium_ic4,train_medium,"[1.0, 0.0]",B0_local_linear,0.40881081138992,0.3933496863451266,0.425857302085266
train_medium_ic4,train_medium,"[1.0, 0.0]",B0_gain_scheduled_lookup,0.02867871831583567,0.02840415408200385,0.0290132415051946
train_medium_ic4,train_medium,"[1.0, 0.0]",B1_full_sindy,8.398234422679379e-09,8.443229136915072e-09,8.356747788227694e-09
train_medium_ic4,train_medium,"[1.0, 0.0]",B2_free_residual_sindy,8.399578544813751e-09,8.446976165304282e-09,8.355377989924124e-09
