term,degree,b3_coefficient,taylor_reference_coefficient,abs_error_vs_taylor,active
theta^0,0,0.9999999541375896,1,4.586241042492389e-08,True
theta^2,2,-0.1666659067516995,-0.1666666666666667,7.599149671189132e-07,True
theta^4,4,0.008329985498091544,0.008333333333333333,3.347835241789693e-06,True
theta^6,6,-0.0001930943047677764,-0.0001984126984126984,5.318393644922057e-06,True
