case_id,noise_level,method,test_extrap_mean_nrmse,active_terms,c0_hat,c1_hat
E4,0.0,finite_difference,2.4644352097597043e-05,2,0.080026815608768,0.5499399512778488
E4,0.0,savgol,1.7731744545440242e-06,2,0.08000241384944118,0.5499952028242736
E4,0.0,integral,8.740732762033064e-06,2,0.07998749653535112,0.5500242391317167
E4,0.01,finite_difference,8.681340426826296e-05,2,0.08047282713333032,0.5494563948382802
E4,0.01,savgol,0.0002551936963887745,2,0.07991300061643047,0.5497458616440001
E4,0.01,integral,0.0023233196692754223,2,0.08460607812073223,0.5423355412000298
E4,0.03,finite_difference,0.0019417301298206072,2,0.07953392981268793,0.5478704630095911
E4,0.03,savgol,0.0015817852604444497,2,0.08182273595867498,0.5460526394900788
E4,0.03,integral,0.002329020065539917,2,0.07909247554389096,0.5478044003245068
E4,0.05,finite_difference,0.005799926269687222,2,0.08412419468024819,0.5381208276392294
E4,0.05,savgol,0.0008447497095773375,2,0.07516167280864969,0.5554368323423714
E4,0.05,integral,0.00420634418893961,2,0.07979181466979327,0.5445852287402999
