system,segment_id,start_index,stop_index,B0_nrmse,B3_nrmse,improvement_percent,selected_model_better,B1_nrmse,free_model_best
E6_Cascaded_Tanks,0,50,178,0.5500695689664199,0.3890553726419721,29.271605885596127,True,,
E6_Cascaded_Tanks,1,178,306,0.822630264868277,0.48840199475567075,40.62922121715572,True,,
E6_Cascaded_Tanks,2,306,434,0.7038590024669761,0.4979436600790241,29.255197655529486,True,,
E6_Cascaded_Tanks,3,434,562,0.6807417401320958,0.4785694652557705,29.698821587918847,True,,
E6_Cascaded_Tanks,4,562,690,0.8692759419189828,0.9273633838894495,-6.68227879886275,False,,
E6_Cascaded_Tanks,5,690,818,0.7555154287318601,0.40810548858640006,45.983169493784,True,,
E6_Cascaded_Tanks,6,818,946,0.904469106953164,0.7016788148953397,22.42091968635092,True,,
E7_EMPS,0,0,248,0.10769807692016717,0.10026530851273219,6.901486656019525,True,0.09824935964318013,True
E7_EMPS,1,248,496,0.08405850151642986,0.08047630750909228,4.261548734172258,True,0.07519943180889756,True
E7_EMPS,2,496,744,0.07414730078174123,0.06532587630532528,11.897161978131264,True,0.06417087491623523,True
E7_EMPS,3,744,992,0.08804612074382476,0.08194674789431167,6.927474825676382,True,0.07767593081632997,True
E7_EMPS,4,992,1240,0.1036120045588484,0.0984415762874118,4.990182646741437,True,0.09455122884583958,True
E7_EMPS,5,1240,1488,0.08536884522592361,0.0789510449292172,7.517731181348513,True,0.07907092851271644,False
E7_EMPS,6,1488,1736,0.07925346220413651,0.07631802494758683,3.703859963857166,True,0.0717628500147939,True
E7_EMPS,7,1736,1984,0.0705783069261486,0.06110264861727897,13.425737626130248,True,0.06158522433186246,False
E7_EMPS,8,1984,2232,0.0833929264716457,0.07725154485351206,7.364391535320163,True,0.07356324928541325,True
E7_EMPS,9,2232,2480,0.0896045063305207,0.08213096939245773,8.340581566841756,True,0.08366635570491071,False
