trajectory_id,split,mu,x0,model,nrmse_all,nrmse_x1,nrmse_x2
train_mu4_ic3,train,4,"[2.0, 0.0]",B3_slot_constrained,4.23871881111479e-14,1.527524833265686e-14,5.892083223703781e-14
train_mu4_ic3,train,4,"[2.0, 0.0]",B4_oracle_reference,0,0,0
seen_mu0.5_ic0,seen_mu_unseen_ic,0.5,"[0.5, -1.0]",B0_constant_coefficient,0.3289040880927696,0.3165730978974041,0.3407737738939706
seen_mu0.5_ic0,seen_mu_unseen_ic,0.5,"[0.5, -1.0]",B3_slot_constrained,3.430259584166975e-15,3.313858610938289e-15,3.543282002896935e-15
seen_mu0.5_ic0,seen_mu_unseen_ic,0.5,"[0.5, -1.0]",B4_oracle_reference,0,0,0
seen_mu0.5_ic1,seen_mu_unseen_ic,0.5,"[-1.5, 0.5]",B0_constant_coefficient,0.2850156014854938,0.2608276503353509,0.3070039300025266
seen_mu0.5_ic1,seen_mu_unseen_ic,0.5,"[-1.5, 0.5]",B3_slot_constrained,1.660522830727327e-14,5.998591336932936e-15,2.26175161391765e-14
seen_mu0.5_ic1,seen_mu_unseen_ic,0.5,"[-1.5, 0.5]",B4_oracle_reference,0,0,0
seen_mu1_ic0,seen_mu_unseen_ic,1,"[0.5, -1.0]",B0_constant_coefficient,0.7111308670781259,0.7155289279489117,0.7073782800823731
seen_mu1_ic0,seen_mu_unseen_ic,1,"[0.5, -1.0]",B3_slot_constrained,1.722387168914938e-14,1.448305137989795e-14,1.959504341959352e-14
seen_mu1_ic0,seen_mu_unseen_ic,1,"[0.5, -1.0]",B4_oracle_reference,0,0,0
seen_mu1_ic1,seen_mu_unseen_ic,1,"[-1.5, 0.5]",B0_constant_coefficient,0.8936881078721004,0.8630705238103525,0.9236792252018242
seen_mu1_ic1,seen_mu_unseen_ic,1,"[-1.5, 0.5]",B3_slot_constrained,9.870589531710056e-15,8.13344353010653e-15,1.13559751004567e-14
seen_mu1_ic1,seen_mu_unseen_ic,1,"[-1.5, 0.5]",B4_oracle_reference,0,0,0
seen_mu2_ic0,seen_mu_unseen_ic,2,"[0.5, -1.0]",B0_constant_coefficient,1.288322721559884,1.289824145454891,1.286808112188929
seen_mu2_ic0,seen_mu_unseen_ic,2,"[0.5, -1.0]",B3_slot_constrained,1.345985928674285e-14,8.086351710965522e-15,1.726733285775619e-14
seen_mu2_ic0,seen_mu_unseen_ic,2,"[0.5, -1.0]",B4_oracle_reference,0,0,0
seen_mu2_ic1,seen_mu_unseen_ic,2,"[-1.5, 0.5]",B0_constant_coefficient,1.497437520273267,1.516516083708444,1.478687628230849
seen_mu2_ic1,seen_mu_unseen_ic,2,"[-1.5, 0.5]",B3_slot_constrained,3.373652126112153e-14,1.976922560874975e-14,4.326330443414682e-14
seen_mu2_ic1,seen_mu_unseen_ic,2,"[-1.5, 0.5]",B4_oracle_reference,0,0,0
seen_mu4_ic0,seen_mu_unseen_ic,4,"[0.5, -1.0]",B0_constant_coefficient,1.206547154090072,1.207791632419414,1.205296146401615
seen_mu4_ic0,seen_mu_unseen_ic,4,"[0.5, -1.0]",B3_slot_constrained,1.206980840897889e-13,4.147344244752105e-14,1.660037941401053e-13
seen_mu4_ic0,seen_mu_unseen_ic,4,"[0.5, -1.0]",B4_oracle_reference,0,0,0
seen_mu4_ic1,seen_mu_unseen_ic,4,"[-1.5, 0.5]",B0_constant_coefficient,1.400522649867046,1.417308591037582,1.384034342591012
seen_mu4_ic1,seen_mu_unseen_ic,4,"[-1.5, 0.5]",B3_slot_constrained,1.432047730240147e-13,4.913825232236525e-14,1.955923533552139e-13
seen_mu4_ic1,seen_mu_unseen_ic,4,"[-1.5, 0.5]",B4_oracle_reference,0,0,0
