trajectory_id,split,X0,S0,t,X,S,dX,dS
train_local_0,train_local,0.045,1.1,0,0.045,1.1,0.04096551724137928,-0.07448275862068959
train_local_0,train_local,0.045,1.1,0.01,0.04541149158476897,1.099251833482238,0.0413333259816771,-0.07515150178486746
train_local_0,train_local,0.045,1.1,0.02,0.04582667708584126,1.098496950753016,0.0417043046027288,-0.07582600836859782
train_local_0,train_local,0.045,1.1,0.03,0.04624558832527148,1.097735293954052,0.04207847777669591,-0.07650632323035621
train_local_0,train_local,0.045,1.1,0.04,0.04666825737251742,1.096966804777241,0.04245587031196629,-0.07719249147630235
train_local_0,train_local,0.045,1.1,0.05,0.04709471654579955,1.096191424462183,0.04283650715258351,-0.07788455845924275
train_local_0,train_local,0.045,1.1,0.06,0.04752499841345448,1.095409093793719,0.04322041337763413,-0.0785825697775166
train_local_0,train_local,0.045,1.1,0.07,0.04795913579528221,1.094619753099487,0.04360761420059128,-0.07928657127380231
train_local_0,train_local,0.045,1.1,0.08,0.0483971617638865,1.093823342247479,0.04399813496861363,-0.07999660903384297
train_local_0,train_local,0.045,1.1,0.09,0.04883910964600804,1.093019800643622,0.04439200116179856,-0.08071272938508829
train_local_0,train_local,0.045,1.1,0.1,0.04928501302384986,1.092209067229364,0.04478923839238783,-0.0814349788952506
train_local_0,train_local,0.045,1.1,0.11,0.04973490573639469,1.091391080479282,0.04518987240392532,-0.08216340437077331
train_local_0,train_local,0.045,1.1,0.12,0.05018882188071348,1.090565778398703,0.04559392907036453,-0.08289805285520824
train_local_0,train_local,0.045,1.1,0.13,0.05064679581326487,1.089733098521337,0.04600143439512537,-0.08363897162750067
train_local_0,train_local,0.045,1.1,0.14,0.05110886215118488,1.088892977906937,0.04641241451009836,-0.08438620820017884
train_local_0,train_local,0.045,1.1,0.15,0.05157505577356648,1.08804535313897,0.04682689567459495,-0.08513981031744536
train_local_0,train_local,0.045,1.1,0.16,0.05204541182272823,1.087190160322312,0.0472449042742427,-0.08589982595316853
train_local_0,train_local,0.045,1.1,0.17,0.05251996570547177,1.086327335080961,0.04766646681982359,-0.08666630330877016
train_local_0,train_local,0.045,1.1,0.18,0.05299875309432726,1.085456812555769,0.04809160994605424,-0.08743929081100771
train_local_0,train_local,0.045,1.1,0.19,0.05348180992878638,1.084578527402207,0.04852036041030618,-0.08821883710964759
train_local_0,train_local,0.045,1.1,0.2,0.05396917241652225,1.083692413788142,0.04895274509126492,-0.08900499107502712
train_local_0,train_local,0.045,1.1,0.21,0.0544608770345956,1.082798405391645,0.04938879098752608,-0.08979780179550197
train_local_0,train_local,0.045,1.1,0.22,0.05495696053064656,1.081896435398825,0.04982852521612682,-0.09059731857477604
train_local_0,train_local,0.045,1.1,0.23,0.05545745992407148,1.080986436501689,0.05027197501101105,-0.091403590929111
train_local_0,train_local,0.045,1.1,0.24,0.05596241250718403,1.080068340896029,0.05071916772142667,-0.09221666858441213
train_local_0,train_local,0.045,1.1,0.25,0.05647185584635996,1.079142080279346,0.05117013081025313,-0.0930366014731875
train_local_0,train_local,0.045,1.1,0.26,0.05698582778316469,1.078207585848792,0.05162489185225715,-0.09386343973137663
train_local_0,train_local,0.045,1.1,0.27,0.05750436643546324,1.077264788299158,0.05208347853227539,-0.09469723369504617
train_local_0,train_local,0.045,1.1,0.28,0.05802751019851149,1.076313617820889,0.05254591864332155,-0.09553803389694826
