t,x1,x2,dx1,dx2,split
0,0,1,1,2,train
0.01,0.01010049995986147,1.020149978372798,1.020149978372798,2.029991305181262,train
0.02,0.02040399859569389,1.040599647389383,1.040599647389383,2.0599288447188,train
0.03,0.03091348919380127,1.061348182341292,1.061348182341292,2.089754333838586,train
0.04,0.0416319537645705,1.082394149623588,1.082394149623588,2.119404292028232,train
0.05,0.0525623567171906,1.10373545376796,1.10373545376796,2.148809747229287,train
0.06,0.06370763800541933,1.125369281048762,1.125369281048762,2.177895934451826,train
0.07,0.07507070553819487,1.147292039405469,1.147292039405469,2.206581990387845,train
0.08,0.08665442721721295,1.16949929690089,1.16949929690089,2.234780650103608,train
0.09,0.09846162213084421,1.191985715370999,1.191985715370999,2.262397942159475,train
0.1,0.110495051129935,1.214744982025491,1.214744982025491,2.289332890161856,train
0.11,0.1227574068536895,1.237769738589882,1.237769738589882,2.315477222918776,train
0.12,0.1352513027509187,1.261051505900598,1.261051505900598,2.340715093296905,train
0.13,0.1479792615525513,1.284580607465674,1.284580607465674,2.364922816024782,train
0.14,0.1609437029848134,1.308346090093928,1.308346090093928,2.387968625358098,train
0.15,0.1741469304214343,1.332335641054614,1.332335641054614,2.409712457020755,train
0.16,0.1875911170070784,1.356535505045626,1.356535505045626,2.430005765269489,train
0.17,0.2012782908037393,1.380930398374977,1.380930398374977,2.44869137661698,train
0.18,0.2152103189380887,1.405503421590718,1.405503421590718,2.465603389146139,train
0.19,0.2293888911798256,1.430235972815544,1.430235972815544,2.480567127705201,train
0.2,0.2438155023987648,1.455107659476865,1.455107659476865,2.493399159003621,train
0.21,0.258491434139996,1.480096210911666,1.480096210911666,2.503907378765981,train
0.22,0.2734177355977389,1.505177393181014,1.505177393181014,2.51189118090906,train
0.23,0.2885952034206286,1.530324924582658,1.530324924582658,2.517141715834425,train
0.24,0.3040243607961852,1.555510394987966,1.555510394987966,2.519442251545517,train
0.25,0.3197054359712399,1.580703189854438,1.580703189854438,2.518568647570486,train
0.26,0.3356383396542714,1.605870418367892,1.605870418367892,2.514289951337994,train
0.27,0.351822641938794,1.630976849043706,1.630976849043706,2.506369130316845,train
0.28,0.3682575488024097,1.655984853533398,1.655984853533398,2.494563949506921,train
0.29,0.384941877649382,1.680854359188444,1.680854359188444,2.478628005207402,train
0.3,0.4018740327467735,1.70554281338855,1.70554281338855,2.458311925084278,train
0.31,0.4190519804893648,1.73000516065971,1.73000516065971,2.433364742621151,train
0.32,0.4364732240222778,1.754193834368744,1.754193834368744,2.403535455868334,train
0.33,0.4541347782916553,1.778058764797618,1.778058764797618,2.368574772975414,train
0.34,0.4720331452851337,1.801547405678658,1.801547405678658,2.328237049889345,train
0.35,0.4901642891384602,1.824604781903534,1.824604781903534,2.28228242491761,train
0.36,0.5085236124888404,1.847173557536178,1.847173557536178,2.230479139012028,train
0.37,0.5271059332071482,1.869194130365925,1.869194130365925,2.172606047799536,train
0.38,0.5459054621411429,1.890604751474388,1.890604751474388,2.108455309288075,train
0.39,0.564915782748955,1.911341669915113,1.911341669915113,2.037835228358633,train
0.4,0.5841298314929432,1.931339313968916,1.931339313968916,1.960573260319803,train
0.41,0.6035398809447523,1.950530491793468,1.950530491793468,1.876519115575118,train
0.42,0.6231375246922476,1.96884663616573,1.96884663616573,1.785547974619639,train
0.43,0.642913664729026,1.986218071030273,1.986218071030273,1.687563745520135,train
0.44,0.6628585021931047,2.002574316235205,2.002574316235205,1.58250234124688,train
0.45,0.6829615306365586,2.017844427214722,2.017844427214722,1.470334931827391,train
0.46,0.7032115334061183,2.031957355568129,2.031957355568129,1.351071097276966,train
0.47,0.7235965845911464,2.044842359266745,2.044842359266745,1.224761862322624,train
0.48,0.7441040539891899,2.056429420886972,2.056429420886972,1.091502507871934,train
0.49,0.7647206168911188,2.066649710078732,2.066649710078732,0.9514351317645007,train
0.5,0.7854322681794591,2.07543606172904,2.07543606172904,0.8047508701867416,train
0.51,0.8062243413647139,2.082723472356723,2.082723472356723,0.6516917172617105,train
0.52,0.8270815330304445,2.088449620778067,2.088449620778067,0.4925518809924383,train
0.53,0.8479879321213549,2.092555392594316,2.092555392594316,0.327678603559284,train
0.54,0.8689270545924147,2.094985410892222,2.094985410892222,0.1574723899543331,train
0.55,0.8898818835854015,2.095688569217299,2.095688569217299,-0.01761340959791147,train
0.56,0.9108349147833444,2.094618555171571,2.094618555171571,-0.1970737096697914,train
0.57,0.9317682067968582,2.091734358192729,2.091734358192729,-0.380353525402259,train
0.58,0.9526634365934252,2.087000755916317,2.087000755916317,-0.5668505570145497,train
0.59,0.9735019598746818,2.080388772651087,2.080388772651087,-0.7559185330320362,train
0.6,0.9942648755976419,2.071876098544995,2.071876098544995,-0.9468713017668007,train
0.61,1.014933094518918,2.061447464787531,2.061447464787531,-1.138987648355326,train
0.62,1.035487411201156,2.049094967071555,2.049094967071555,-1.331516795480385,train
0.63,1.055908579175817,2.034818331681593,2.034818331681593,-1.523684531437849,train
0.64,1.0761773883083,2.018625116581382,2.018625116581382,-1.714699886582802,train
0.65,1.096274743763815,2.000530843597055,2.000530843597055,-1.903762266940806,train
0.66,1.11618174595814,1.980559057497941,1.980559057497941,-2.090068940040896,train
0.67,1.135879770821652,1.958741309162322,1.958741309162322,-2.272822755874271,train
0.68,1.155350549566164,1.935117060177719,1.935117060177719,-2.451239974751763,train
0.69,1.174576246850752,1.909733509945508,1.909733509945508,-2.624558065877375,train
0.7,1.19353953696407,1.882645345331452,1.882645345331452,-2.792043343803364,train
0.71,1.212223677124518,1.853914415595325,1.853914415595325,-2.952998306181044,train
0.72,1.230612577355419,1.823609334148049,1.823609334148049,-3.106768541720487,train
0.73,1.248690865716218,1.791805016360441,1.791805016360441,-3.252749083945464,train
0.74,1.266443948669891,1.758582157112064,1.758582157112064,-3.390390102394901,train
0.75,1.283858066178539,1.724026652758432,1.724026652758432,-3.519201833242013,train
0.76,1.300920340699551,1.688228977691952,1.688228977691952,-3.638758668224832,train
0.77,1.317618819490629,1.651283530299276,1.651283530299276,-3.748702348949167,train
0.78,1.333942510546115,1.613287945300423,1.613287945300423,-3.848744217962204,train
0.79,1.349881411597814,1.574342384498234,1.574342384498234,-3.938666505139518,train
0.8,1.365426531530091,1.53454884362349,1.53454884362349,-4.018322693688024,train
0.81,1.380569905428375,1.494010412625525,1.494010412625525,-4.087636884707278,train
0.82,1.395304601921971,1.452830608310334,1.452830608310334,-4.146602369244946,train
