trajectory_id,split,mu,x0_1,x0_2,t,x1,x2,dx1,dx2
train_mu0.5_ic0,train,0.5,0,1,0,0,1,1,0.5
train_mu0.5_ic0,train,0.5,0,1,0.02,0.02009898741502227,1.009847478863691,1.009847478863691,0.4846207783297211
train_mu0.5_ic0,train,0.5,0,1,0.04,0.04039179731419373,1.019379663750795,1.019379663750795,0.4684664769816206
train_mu0.5_ic0,train,0.5,0,1,0.06,0.06087196713151877,1.028580808562731,1.028580808562731,0.4515127873462884
train_mu0.5_ic0,train,0.5,0,1,0.08,0.08153271469082005,1.037434690387712,1.037434690387712,0.4337364136043204
train_mu0.5_ic0,train,0.5,0,1,0.1,0.102366928587957,1.045924632998448,1.045924632998448,0.4151152720363796
train_mu0.5_ic0,train,0.5,0,1,0.12,0.1233671597876513,1.054033531352291,1.054033531352291,0.3956286973519059
train_mu0.5_ic0,train,0.5,0,1,0.14,0.1445256129620805,1.061743884076547,1.061743884076547,0.3752576602685395
train_mu0.5_ic0,train,0.5,0,1,0.16,0.1658341391426887,1.069037826418798,1.069037826418798,0.3539849899038354
train_mu0.5_ic0,train,0.5,0,1,0.18,0.1872842287726935,1.075897171669697,1.075897171669697,0.3317956047309789
train_mu0.5_ic0,train,0.5,0,1,0.2,0.2088670056329268,1.08230345357888,1.08230345357888,0.3086767465219244
train_mu0.5_ic0,train,0.5,0,1,0.22,0.230573221892624,1.088237976370841,1.088237976370841,0.2846182186078932
train_mu0.5_ic0,train,0.5,0,1,0.24,0.2523932538477731,1.093681867941495,1.093681867941495,0.2596126250440098
train_mu0.5_ic0,train,0.5,0,1,0.26,0.2743170991320021,1.098616137832025,1.098616137832025,0.2336556085268276
train_mu0.5_ic0,train,0.5,0,1,0.28,0.296334374920488,1.103021741404537,1.103021741404537,0.206746086120887
train_mu0.5_ic0,train,0.5,0,1,0.3,0.3184343174521918,1.106879646613467,1.106879646613467,0.1788864783531409
train_mu0.5_ic0,train,0.5,0,1,0.32,0.3406057831039316,1.110170906688751,1.110170906688751,0.1500829303879316
train_mu0.5_ic0,train,0.5,0,1,0.34,0.3628372508076311,1.112876737148148,1.112876737148148,0.1203455221230904
train_mu0.5_ic0,train,0.5,0,1,0.36,0.3851168260437468,1.114978595684714,1.114978595684714,0.08968846347992626
train_mu0.5_ic0,train,0.5,0,1,0.38,0.4074322466162418,1.116458267095777,1.116458267095777,0.05813027267023149
train_mu0.5_ic0,train,0.5,0,1,0.4,0.4297708900370039,1.117297951218523,1.117297951218523,0.02569393381752351
train_mu0.5_ic0,train,0.5,0,1,0.42,0.4521197826619655,1.117480353049531,1.117480353049531,-0.007592969535321167
train_mu0.5_ic0,train,0.5,0,1,0.44,0.4744656108010982,1.116988776177734,1.116988776177734,-0.04169814781482842
train_mu0.5_ic0,train,0.5,0,1,0.46,0.4967947336527109,1.115807217984106,1.115807217984106,-0.0765845289980977
train_mu0.5_ic0,train,0.5,0,1,0.48,0.5190931980456914,1.11392046531095,1.11392046531095,-0.1122102155504246
train_mu0.5_ic0,train,0.5,0,1,0.5,0.5413467552296301,1.111314191130938,1.111314191130938,-0.148528477381194
train_mu0.5_ic0,train,0.5,0,1,0.52,0.5635408796629739,1.107975051453413,1.107975051453413,-0.1854877833479041
train_mu0.5_ic0,train,0.5,0,1,0.54,0.5856607895025028,1.103890780248534,1.103890780248534,-0.2230318735885814
train_mu0.5_ic0,train,0.5,0,1,0.56,0.6076914690930291,1.099050282825977,1.099050282825977,-0.2610998745491707
train_mu0.5_ic0,train,0.5,0,1,0.58,0.6296176934376295,1.093443727046341,1.093443727046341,-0.299626458105915
train_mu0.5_ic0,train,0.5,0,1,0.6,0.6514240542503481,1.087062630235849,1.087062630235849,-0.338542045516821
train_mu0.5_ic0,train,0.5,0,1,0.62,0.6730949877246267,1.079899941628507,1.079899941628507,-0.3777730565944537
train_mu0.5_ic0,train,0.5,0,1,0.64,0.6946148039990803,1.071950119642876,1.071950119642876,-0.417242203898712
train_mu0.5_ic0,train,0.5,0,1,0.66,0.7159677181552851,1.063209202894043,1.063209202894043,-0.4568688310159411
train_mu0.5_ic0,train,0.5,0,1,0.68,0.7371378823414643,1.053674873615074,1.053674873615074,-0.4965692929512052
train_mu0.5_ic0,train,0.5,0,1,0.7,0.7581094191851626,1.043346513248283,1.043346513248283,-0.5362573767167718
train_mu0.5_ic0,train,0.5,0,1,0.72,0.7788664564256615,1.032225249504823,1.032225249504823,-0.5758447593434852
train_mu0.5_ic0,train,0.5,0,1,0.74,0.7993931621455093,1.020313993574149,1.020313993574149,-0.6152414990447754
train_mu0.5_ic0,train,0.5,0,1,0.76,0.8196737806568541,1.007617467309939,1.007617467309939,-0.6543565555935089
train_mu0.5_ic0,train,0.5,0,1,0.78,0.839692668947378,0.9941422198664158,0.9941422198664158,-0.6930983352816835
train_mu0.5_ic0,train,0.5,0,1,0.8,0.8594343334214648,0.9798966331011031,0.9798966331011031,-0.7313752550575584
train_mu0.5_ic0,train,0.5,0,1,0.82,0.8788834663562618,0.9648909156049958,0.9648909156049958,-0.7690963193259499
train_mu0.5_ic0,train,0.5,0,1,0.84,0.8980249822404156,0.9491370852386409,0.9491370852386409,-0.8061717039502938
train_mu0.5_ic0,train,0.5,0,1,0.86,0.9168440539115539,0.932648939651836,0.932648939651836,-0.8425133413448647
train_mu0.5_ic0,train,0.5,0,1,0.88,0.9353261476071176,0.9154420154064492,0.9154420154064492,-0.8780354987753625
train_mu0.5_ic0,train,0.5,0,1,0.9,0.953457057153076,0.8975335358317559,0.8975335358317559,-0.9126553440961562
train_mu0.5_ic0,train,0.5,0,1,0.92,0.9712229372763563,0.8789423472238574,0.8789423472238574,-0.9462934927976301
train_mu0.5_ic0,train,0.5,0,1,0.94,0.9886103352910824,0.8596888445258615,0.8596888445258615,-0.9788745289344358
train_mu0.5_ic0,train,0.5,0,1,0.96,1.005606221079523,0.8397948875484323,0.8397948875484323,-1.010327494137473
train_mu0.5_ic0,train,0.5,0,1,0.98,1.022198015663863,0.8192837068120752,0.8192837068120752,-1.040586340022169
train_mu0.5_ic0,train,0.5,0,1,1,1.038373617596225,0.7981798008581563,0.7981798008581563,-1.069590337705315
train_mu0.5_ic0,train,0.5,0,1,1.02,1.054121427029762,0.7765088271837431,0.7765088271837431,-1.097284440067478
train_mu0.5_ic0,train,0.5,0,1,1.04,1.06943036799662,0.7542974844237046,0.7542974844237046,-1.123619594094275
train_mu0.5_ic0,train,0.5,0,1,1.06,1.084289907897461,0.7315733897646702,0.7315733897646702,-1.148552998671047
train_mu0.5_ic0,train,0.5,0,1,1.08,1.09869007449791,0.7083649531975728,0.7083649531975728,-1.172048306478396
train_mu0.5_ic0,train,0.5,0,1,1.1,1.112621470748259,0.6847012447817953,0.6847012447817953,-1.194075768831727
train_mu0.5_ic0,train,0.5,0,1,1.12,1.12607528639089,0.6606118631769664,0.6606118631769664,-1.214612321696684
train_mu0.5_ic0,train,0.5,0,1,1.14,1.139043307346794,0.6361268018456957,0.6361268018456957,-1.233641614639123
train_mu0.5_ic0,train,0.5,0,1,1.16,1.151517922253193,0.6112763129082363,0.6112763129082363,-1.251153982332789
train_mu0.5_ic0,train,0.5,0,1,1.18,1.163492126217458,0.5860907771742205,0.5860907771742205,-1.267146361629498
