temperature_c,curve,soc,voltage,source_file,capacity_ah
-5,discharge,0.02,2.68936466792191,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.03,2.8033209078965804,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.04,2.8896658777178748,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.05,2.9579763412476323,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.06,3.013004836069739,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.07,3.0569493770599365,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.08,3.0883586406707764,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.09000000000000001,3.1085540667802443,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.1,3.121450147389254,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.11,3.130459752667211,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.12000000000000001,3.137577533721924,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.13,3.1434061527252197,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.13999999999999999,3.1485869884490967,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.15,3.1537678241729736,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.16,3.1602460112108575,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.16999999999999998,3.1682917439770093,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.18,3.1756248474121094,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.19,3.181777238845825,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.19999999999999998,3.187282085418701,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.21,3.191985806137657,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.22,3.1968343257904053,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.22999999999999998,3.2018532752990723,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.24,3.2065486907958984,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.25,3.2112385484321884,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.26,3.2152915000915527,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.27,3.218691349029541,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.28,3.2220046839251126,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.29000000000000004,3.2248794706692174,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.30000000000000004,3.227919816970825,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.31,3.2306550359426827,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.32,3.233424663543701,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.33,3.2359138136582684,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.34,3.238242567981941,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.35000000000000003,3.240062713623047,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.36000000000000004,3.2416818141937256,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.37000000000000005,3.2431387901306152,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.38,3.244272232055664,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.39,3.245405435562134,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.4,3.2465230555828866,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.41000000000000003,3.2472663699280955,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.42000000000000004,3.2479960918426514,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.43000000000000005,3.248805522918701,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.44,3.249453067779541,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.45,3.25026273727417,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.46,3.250789471061907,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.47000000000000003,3.251547026480934,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.48000000000000004,3.2518815994262695,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.49000000000000005,3.252674100630985,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.5,3.253057655257482,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.51,3.253662586212158,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.52,3.2542067765613285,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.53,3.254634141921997,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.54,3.255281686782837,OCVdata/A002_OCV_N05.mat,2.539229264506316
-5,discharge,0.55,3.2558017474316516,OCVdata/A002_OCV_N05.mat,2.539229264506316
