model,success,status,message,nfev,cost,c,k,b,x20_fit_mean,x20_fit_std,b_scale,start,beta0,beta2,beta2_scaled,beta2_scale
windowed_linear,False,0,The maximum number of function evaluations is exceeded.,45,286.91619008516204,49.968419269450806,1.62023854744127,-112.23445067219757,-0.12356190579070232,1.9566447373960085,11.824968512998186,,,,,
windowed_slot,False,0,The maximum number of function evaluations is exceeded.,35,286.909124506271,49.13645317611855,,-115.51542933974889,-0.12216994308088225,1.9297087941191047,11.824968512998186,beta2_scaled_0,1.0563923383697993,-3909.8238786912752,-0.17499273598602952,22342.778153965286
