model,split,n_samples,score_start_index,sampling_time_s,rmse,mae,nrmse,fit_percent,bias,max_abs_error
B0_linear_outflow,estimation,1024,50,4.0,1.1823823130342974,1.0379213440485233,0.5328739413967583,46.712605860324175,0.18084644137806696,2.6056066180810706
B0_linear_outflow,test,1024,50,4.0,1.1419342212700407,1.0198469983300875,0.5386502216209509,46.13497783790491,0.03524605166998529,2.7066271343737816
B3_sqrt_outflow_slot,estimation,1024,50,4.0,0.6339399989546887,0.47104555537491155,0.28570294238006155,71.42970576199384,0.040464359898485666,2.9816561235607812
B3_sqrt_outflow_slot,test,1024,50,4.0,0.6994361866065414,0.5497220174904539,0.329923957008933,67.0076042991067,-0.06898110288102532,2.96403145834441
