noise_level,n_seeds,b3_coefficient_grid_nrmse_mean,b3_coefficient_grid_nrmse_std,b3_support_precision_mean,b3_support_precision_std,b3_support_recall_mean,b3_support_recall_std,b1_active_terms_mean,b1_active_terms_std,b2_active_terms_mean,b2_active_terms_std,b3_active_terms_mean,b3_active_terms_std,interp_b1_vector_field_nrmse_mean,interp_b1_vector_field_nrmse_std,interp_b2_vector_field_nrmse_mean,interp_b2_vector_field_nrmse_std,interp_b3_vector_field_nrmse_mean,interp_b3_vector_field_nrmse_std,extrap_b1_vector_field_nrmse_mean,extrap_b1_vector_field_nrmse_std,extrap_b2_vector_field_nrmse_mean,extrap_b2_vector_field_nrmse_std,extrap_b3_vector_field_nrmse_mean,extrap_b3_vector_field_nrmse_std,interp_b3_rollout_nrmse_mean,interp_b3_rollout_nrmse_std,extrap_b3_rollout_nrmse_mean,extrap_b3_rollout_nrmse_std,total_rollout_failures
0,5,1.203330071918378e-15,0,1,0,1,0,4,0,3,0,2,0,3.648691570733714e-15,0,1.137492680402311e-15,0,1.049652419571401e-15,0,4.100870636681753e-15,0,1.321381713365918e-15,0,1.203675183417103e-15,0,5.273665642195072e-07,0,1.028202256411167e-06,0,0
0.005,5,0.001398830638727128,0.001057314786761669,0.6266666666666667,0.3057958650981257,1,0,4.6,0.7999999999999999,18.6,16.70449041425688,4,1.673320053068151,0.001160450577757461,0.0008556022078316481,0.001131328420056247,0.0008227258547519502,0.001141354039860448,0.0008275377221842263,0.001329871813562078,0.001013493662932596,0.001481627801566181,0.001009819844176663,0.001555296041871884,0.001166421490832283,0.003171994124069642,0.002635775998348359,0.0132304085620927,0.01250496691984498,0
0.01,5,0.0035151370492822,0.002089826933599597,0.4933333333333333,0.2550816862627865,1,0,9.6,1.743559577416269,15.2,3.655133376499413,4.8,1.469693845669907,0.003221427685067385,0.001406701261851273,0.003179469671724391,0.001390817834021086,0.002794120026346043,0.001563316046376164,0.004594649771301505,0.002161389155993898,0.00467295175238352,0.002231687438688532,0.003717990050618107,0.002182721915526839,0.008052027393090643,0.006258666777379838,0.03186847811945355,0.02826410951894715,0
0.03,5,0.01850312783032572,0.006811469250314444,0.3466666666666666,0.02666666666666668,1,0,30.8,3.249615361854384,29.2,2.85657137141714,5.8,0.4,0.01669399949504793,0.002015908997408905,0.01669059967061486,0.002013913907533887,0.01385498428154266,0.004846657690659794,0.03039016151174964,0.005189296091198457,0.03038818338801623,0.005188074980386925,0.01687303334558226,0.007002457708203495,0.05760966507722827,0.01923197821029698,0.1920099862737368,0.08349497531737624,0
0.05,5,0.04396027619723056,0.01179322903793764,0.3333333333333333,0,1,0,47,2.366431913239846,47,2.366431913239846,6,0,0.03895765614208323,0.00352954627675497,0.03895765614208272,0.003529546276755069,0.03235354921601865,0.00818453696738314,0.05935289142095784,0.006411725428538283,0.05935289142095294,0.006411725428540905,0.0381962232748623,0.01188341542448584,0.1462456887306928,0.02902670385034361,0.4331873088468002,0.09024975235997747,0
