noise_level,seed,model,term,dx1_coefficient,dx2_coefficient
0.01,0,B1_full_sindy,x1*x2^2,0,0
0.01,0,B2_free_residual_sindy,x1*x2^2,1.797800936003853e-05,0
0.01,0,B1_full_sindy,x1*mu^2,0,0
0.01,0,B2_free_residual_sindy,x1*mu^2,1.091439674363167e-05,0
0.01,0,B1_full_sindy,x1^2*x2*mu,0,-0.9934190559191616
0.01,0,B2_free_residual_sindy,x1^2*x2*mu,0,-0.9931565801183719
0.01,0,B1_full_sindy,x1*x2^2*mu,0,-0.001383943766835184
0.01,0,B2_free_residual_sindy,x1*x2^2*mu,0,-0.001367074591477697
0.03,0,B1_full_sindy,1,0,-0.02951899291162387
0.03,0,B2_free_residual_sindy,1,0,-0.02951899291155234
0.03,0,B1_full_sindy,x1,-0.007423224749223469,-1.014680366295125
0.03,0,B2_free_residual_sindy,x1,-0.006019493132139974,-0.01468036629512382
0.03,0,B1_full_sindy,x2,0.9983093623025647,-0.01744445624505748
0.03,0,B2_free_residual_sindy,x2,0,-0.03330563938078294
0.03,0,B1_full_sindy,mu,0,0.01069188011080627
0.03,0,B2_free_residual_sindy,mu,0,0.01069188011080266
0.03,0,B1_full_sindy,x1^2,0,0.01880124341081331
0.03,0,B2_free_residual_sindy,x1^2,0,0.01880124341077822
0.03,0,B1_full_sindy,x1*x2,0,-0.0027222409529566
0.03,0,B2_free_residual_sindy,x1*x2,0,-0.002722240952923489
0.03,0,B1_full_sindy,x1*mu,0,0.01563371792341978
0.03,0,B2_free_residual_sindy,x1*mu,0,0.0156337179234177
0.03,0,B1_full_sindy,x2^2,0,0.007288409485224762
0.03,0,B2_free_residual_sindy,x2^2,0,0.007288409485212311
0.03,0,B1_full_sindy,x2*mu,0,0.9621705897433779
0.03,0,B2_free_residual_sindy,x2*mu,0,0.9621705897433788
0.03,0,B1_full_sindy,mu^2,0,0.01223946333492915
0.03,0,B2_free_residual_sindy,mu^2,0,0.01223946333490914
0.03,0,B1_full_sindy,x1^3,0.001855874860633988,0.006181460231916072
0.03,0,B2_free_residual_sindy,x1^3,0.001504253093779386,0.00618146023191708
0.03,0,B1_full_sindy,x1^2*x2,0,-0.01485835828039198
0.03,0,B2_free_residual_sindy,x1^2*x2,0,-0.01485835828039252
0.03,0,B1_full_sindy,x1^2*mu,0,-0.004015378394484098
0.03,0,B2_free_residual_sindy,x1^2*mu,0,-0.004015378394481116
0.03,0,B1_full_sindy,x1*x2^2,0.001697184058462198,-0.001462175635840158
0.03,0,B2_free_residual_sindy,x1*x2^2,0.001330453048332564,-0.001462175635841444
0.03,0,B1_full_sindy,x1*x2*mu,0,0.003687342735605754
0.03,0,B2_free_residual_sindy,x1*x2*mu,0,0.003687342735605522
0.03,0,B1_full_sindy,x1*mu^2,0,0.001639662425516698
0.03,0,B2_free_residual_sindy,x1*mu^2,0,0.001639662425516216
0.03,0,B1_full_sindy,x2^3,0,0.01217886710027992
0.03,0,B2_free_residual_sindy,x2^3,0,0.01217886710027989
0.03,0,B1_full_sindy,x2^2*mu,0,-0.002881546345110488
0.03,0,B2_free_residual_sindy,x2^2*mu,0,-0.002881546345108639
0.03,0,B1_full_sindy,x2*mu^2,0,-0.002383594771626516
0.03,0,B2_free_residual_sindy,x2*mu^2,0,-0.002383594771628327
0.03,0,B1_full_sindy,mu^3,0,-0.008385496709525875
0.03,0,B2_free_residual_sindy,mu^3,0,-0.00838549670951462
0.03,0,B1_full_sindy,x1^4,0,-0.00256848124443744
0.03,0,B2_free_residual_sindy,x1^4,0,-0.002568481244432857
0.03,0,B1_full_sindy,x1^3*x2,0,0.001549404126119464
0.03,0,B2_free_residual_sindy,x1^3*x2,0,0.001549404126105181
0.03,0,B1_full_sindy,x1^3*mu,0,-0.004713405240223045
0.03,0,B2_free_residual_sindy,x1^3*mu,0,-0.004713405240221884
0.03,0,B1_full_sindy,x1^2*x2^2,0,-0.003717369303290398
0.03,0,B2_free_residual_sindy,x1^2*x2^2,0,-0.003717369303287275
0.03,0,B1_full_sindy,x1^2*x2*mu,-0.001339493326602809,-0.9550554479836227
0.03,0,B2_free_residual_sindy,x1^2*x2*mu,-0.001366032469045916,-0.95505544798362
0.03,0,B1_full_sindy,x1*x2^2*mu,0,-0.01264196632074843
0.03,0,B2_free_residual_sindy,x1*x2^2*mu,0,-0.01264196632074956
0.03,0,B1_full_sindy,x2^3*mu,0,-0.001783859175595738
0.03,0,B2_free_residual_sindy,x2^3*mu,0,-0.001783859175595381
0.03,0,B1_full_sindy,x2*mu^3,0,0.001876865438397649
0.03,0,B2_free_residual_sindy,x2*mu^3,0,0.001876865438397762
0.03,0,B1_full_sindy,mu^4,0,0.001372339625724806
0.03,0,B2_free_residual_sindy,mu^4,0,0.001372339625722958
0.05,0,B1_full_sindy,1,0,-0.04565632288133855
0.05,0,B2_free_residual_sindy,1,0,-0.04565632288129751
0.05,0,B1_full_sindy,x1,-0.05325285626937394,-1.028280548884138
0.05,0,B2_free_residual_sindy,x1,-0.05325285626937872,-0.02828054888414345
0.05,0,B1_full_sindy,x2,1.037488452712171,-0.04640380352884969
0.05,0,B2_free_residual_sindy,x2,0.03748845271216913,-0.06204383290614827
