model,threshold,active_terms,design_rows,linear_fit_nrmse,train_rmse_mv,train_nrmse,train_r0_negative_fraction,validation_temperature_rmse_mv,validation_temperature_nrmse,validation_temperature_r0_negative_fraction,test_high_amplitude_rmse_mv,test_high_amplitude_nrmse,test_high_amplitude_r0_negative_fraction,test_cell_transfer_rmse_mv,test_cell_transfer_nrmse,test_cell_transfer_r0_negative_fraction
BATT4a_R0_slot_STLSQ_dense,0.0,10,7718,0.6239011967291668,40.845833243857335,0.20147184953474037,0.15039233940683602,69.9114980066268,0.4152586856510895,0.11447002141327624,281.1028184877777,6.236986075179797,0.5393056259503295,436.8409390673976,1.096229466399215,0.4965594868963174
BATT4a_R0_slot_STLSQ_t0.0001,0.0001,10,7718,0.6239011967291668,40.845833243857335,0.20147184953474037,0.15039233940683602,69.9114980066268,0.4152586856510895,0.11447002141327624,281.1028184877777,6.236986075179797,0.5393056259503295,436.8409390673976,1.096229466399215,0.4965594868963174
BATT4a_R0_slot_STLSQ_t0.0005,0.0005,10,7718,0.6239011967291668,40.845833243857335,0.20147184953474037,0.15039233940683602,69.9114980066268,0.4152586856510895,0.11447002141327624,281.1028184877777,6.236986075179797,0.5393056259503295,436.8409390673976,1.096229466399215,0.4965594868963174
BATT4a_R0_slot_STLSQ_t0.001,0.001,10,7718,0.6239011967291668,40.845833243857335,0.20147184953474037,0.15039233940683602,69.9114980066268,0.4152586856510895,0.11447002141327624,281.1028184877777,6.236986075179797,0.5393056259503295,436.8409390673976,1.096229466399215,0.4965594868963174
BATT4a_R0_slot_STLSQ_t0.002,0.002,10,7718,0.623900577574395,40.84692905016989,0.20147725459339602,0.15039613930423879,69.91149568496688,0.41525867186094806,0.11447537473233405,281.0977626500014,6.236873898468164,0.5393056259503295,436.84093773562,1.0962294630571887,0.4965594868963174
BATT4a_R0_slot_STLSQ_t0.005,0.005,10,7718,0.6238518340646169,40.84542312579367,0.2014698266296298,0.1503809397146277,69.91099622145879,0.41525570515924926,0.11444325481798716,280.99803144407593,6.234661106202457,0.5393056259503295,436.84074734616377,1.096228985284816,0.49653824916110945
BATT4a_R0_slot_STLSQ_t0.01,0.01,9,7718,0.623973607475912,40.84545718949707,0.20146999464866086,0.15832272528641728,69.93917532734551,0.4154230827553098,0.1191541755888651,268.9779886814538,5.967965668081833,0.5438165230613279,436.8084605751362,1.0961479633232507,0.500764558467485
