t,true_x1,true_x2,b0_x1,b0_x2,b1_x1,b1_x2,b2_x1,b2_x2,b3_x1,b3_x2,b4_x1,b4_x2
0,0,1,0,1,0,1,0,1,0,1,0,1
0.01,0.01010049995986147,1.020149978372798,0.01000107846994017,1.000199033688652,0.01010049995985988,1.020149978372799,0.01010049995986148,1.020149978372798,0.01010049995986148,1.020149978372798,0.01010049995986147,1.020149978372798
0.02,0.02040399859569389,1.040599647389383,0.02000364739964158,1.000298085421099,0.02040399859569565,1.040599647389387,0.02040399859569389,1.040599647389383,0.02040399859569389,1.040599647389383,0.02040399859569389,1.040599647389383
0.03,0.03091348919380127,1.061348182341292,0.03000670678831881,1.00029712039148,0.03091348919379662,1.061348182341262,0.03091348919380132,1.061348182341292,0.03091348919380128,1.061348182341292,0.03091348919380127,1.061348182341292
0.04,0.0416319537645705,1.082394149623588,0.04000925633460142,1.000196113787816,0.04163195376457578,1.082394149623636,0.04163195376457046,1.082394149623588,0.04163195376457049,1.082394149623588,0.0416319537645705,1.082394149623588
0.05,0.0525623567171906,1.10373545376796,0.05001029554227476,0.9999950507976441,0.05256235671718785,1.103735453767924,0.05256235671719061,1.10373545376796,0.05256235671719059,1.10373545376796,0.0525623567171906,1.10373545376796
0.06,0.06370763800541933,1.125369281048762,0.0600088238118176,0.999693926611097,0.06370763800541411,1.125369281048736,0.06370763800541934,1.125369281048761,0.06370763800541931,1.125369281048761,0.06370763800541933,1.125369281048762
0.07,0.07507070553819487,1.147292039405469,0.07000384055437191,0.9992927464250889,0.07507070553820225,1.147292039405518,0.07507070553819482,1.147292039405468,0.07507070553819487,1.147292039405469,0.07507070553819487,1.147292039405469
0.08,0.08665442721721295,1.16949929690089,0.079994345270015,0.9987915254437659,0.08665442721720842,1.169499296900851,0.08665442721721293,1.16949929690089,0.08665442721721293,1.16949929690089,0.08665442721721295,1.16949929690089
0.09,0.09846162213084421,1.191985715370999,0.08997933767712457,0.9981902888810809,0.09846162213084481,1.191985715371015,0.0984616221308442,1.191985715370998,0.09846162213084421,1.191985715370998,0.09846162213084421,1.191985715370999
0.1,0.110495051129935,1.214744982025491,0.09995781777992924,0.9974890719594981,0.1104950511299394,1.214744982025509,0.1104950511299349,1.21474498202549,0.110495051129935,1.21474498202549,0.110495051129935,1.214744982025491
0.11,0.1227574068536895,1.237769738589882,0.10992878599612,0.9966879199094766,0.1227574068536847,1.237769738589855,0.1227574068536894,1.237769738589882,0.1227574068536894,1.237769738589881,0.1227574068536895,1.237769738589882
0.12,0.1352513027509187,1.261051505900598,0.1198912432462989,0.9957868879677774,0.1352513027509253,1.261051505900647,0.1352513027509186,1.261051505900597,0.1352513027509186,1.261051505900597,0.1352513027509187,1.261051505900598
