trajectory_id,split,x0_1,x0_2,t,x1,x2,dx1,dx2
train_ic0,train,0,1,0,0,1,1,-0.2
train_ic0,train,0,1,0.01,0.009989973358573852,0.9979920095145108,0.9979920095145108,-0.2015973935696395
train_ic0,train,0,1,0.02,0.01995978698763235,0.9959680563417933,0.9959680563417933,-0.2031935205072304
train_ic0,train,0,1,0.03,0.02990928122827971,0.9939281237965059,0.9939281237965059,-0.2047942368042175
train_ic0,train,0,1,0.04,0.03983829595618277,0.9918721370609798,0.9918721370609798,-0.2064053135575777
train_ic0,train,0,1,0.05,0.04974667002031932,0.9897999640315042,0.9897999640315042,-0.2080324364456712
train_ic0,train,0,1,0.06,0.05963424066207967,0.9877114161671638,0.9877114161671638,-0.2096812051964487
train_ic0,train,0,1,0.07,0.06950084295014951,0.9856062493928596,0.9856062493928596,-0.2113571330587299
train_ic0,train,0,1,0.08,0.0793463092669256,0.9834841648752557,0.9834841648752557,-0.2130656462418095
train_ic0,train,0,1,0.09,0.08917046868846297,0.9813448100385602,0.9813448100385602,-0.2148120833567085
train_ic0,train,0,1,0.1,0.0989731465475384,0.9791877792965847,0.9791877792965847,-0.2166016948109116
train_ic0,train,0,1,0.11,0.108754163841933,0.9770126150028379,0.9770126150028379,-0.2184396421782962
train_ic0,train,0,1,0.12,0.1185133367096164,0.9748188084177275,0.9748188084177275,-0.220330997545935
train_ic0,train,0,1,0.13,0.1282504760069157,0.972605800421434,0.972605800421434,-0.2222807427895566
train_ic0,train,0,1,0.14,0.1379653867007058,0.9703729825975231,0.9703729825975231,-0.2242937688285944
train_ic0,train,0,1,0.15,0.1476578674343991,0.9681196981117617,0.9681196981117617,-0.2263748748263166
train_ic0,train,0,1,0.16,0.1573277100945816,0.9658452424830054,0.9658452424830054,-0.2285287673116053
train_ic0,train,0,1,0.17,0.1669746992291467,0.9635488647288599,0.9635488647288599,-0.2307600592726948
train_ic0,train,0,1,0.18,0.1765986116564075,0.9612297682382134,0.9612297682382134,-0.2330732691787981
