model,split,record,filename,temperature_c,amplitude_token,n_score,init_method,s0,v10,soc_min,soc_max,stable_fraction,rmse_mv,mae_mv,max_abs_mv,bias_mv,nrmse
ohmic_only,validation_temperature,A002_15_-15C,DYNdata/A002_DYN/A002_DYN_15_N15.mat,-15,15,37360,prefix_output_error,0.98,0.0,0.10636804492140428,0.98,1.0,168.06565397471616,123.51125703293953,717.1066504303702,121.36253146262337,0.9842161308816862
ohmic_only,validation_temperature,A002_20_-15C,DYNdata/A002_DYN/A002_DYN_20_N15.mat,-15,20,37360,prefix_output_error,0.98,0.0,0.10588108887532754,0.98,1.0,168.38813387256138,121.01758319871048,761.8570201655795,115.9810166060567,0.9685339557273316
ohmic_only,train,A002_20_+25C,DYNdata/A002_DYN/A002_DYN_20_P25.mat,25,20,37360,training_fit,0.9436406801403521,0.0,0.06618244576472165,0.9436406801403521,1.0,23.872806404095588,18.005216890998767,214.47531111752926,13.876492062879112,0.633053334842725
ohmic_only,test_high_amplitude,A002_50_+25C,DYNdata/A002_DYN/A002_DYN_50_P25.mat,25,50,39460,prefix_output_error,0.98,0.0,0.15983632560968197,0.98,1.0,37.59886722090186,29.03833207894308,231.9718098278276,25.604707734120616,0.8342271790828566
ohmic_only,test_cell_transfer,A003_25_+25C,DYNdata/A002_DYN/A003_DYN_25_P25.mat,25,25,47086,prefix_output_error,0.98,0.0,0.2143915247127619,0.98,1.0,452.96252634893307,260.93679599608174,1348.7614928570104,259.58223135890137,1.1366857456592945
constant_ecm,validation_temperature,A002_05_-15C,DYNdata/A002_DYN/A002_DYN_05_N15.mat,-15,5,37360,prefix_output_error,0.98,-0.23075810221850113,0.10180357360222536,0.98,1.0,184.11942630549257,136.6578191844634,713.2877862109818,136.1864649830059,0.9935775679031128
constant_ecm,train,A002_05_-25C,DYNdata/A002_DYN/A002_DYN_05_N25.mat,-25,5,39005,training_fit,0.7966693299049732,-0.3003399567643012,-0.05559870206088058,0.7966693299049732,1.0,224.80442634604825,182.51863198408446,662.8250184186146,174.81592504707828,0.639383401907257
constant_ecm,validation_temperature,A002_05_+35C,DYNdata/A002_DYN/A002_DYN_05_P35.mat,35,5,37360,prefix_output_error,0.98,-0.3663123214857814,0.10327855413367737,0.98,1.0,21.484159950857375,18.365452890864574,158.58192739762788,18.06809251126221,0.5841337873926914
constant_ecm,train,A002_10_-5C,DYNdata/A002_DYN/A002_DYN_10_N05.mat,-5,10,37360,training_fit,0.9137924750374483,-0.3329218551489824,0.032661947695155846,0.9137924750374483,1.0,57.63230532443648,43.875487390905874,212.10388156532068,34.11029321877993,0.9329703174389414
constant_ecm,validation_temperature,A002_10_-15C,DYNdata/A002_DYN/A002_DYN_10_N15.mat,-15,10,37360,prefix_output_error,0.98,-0.2877379811479148,0.1039873313569255,0.98,1.0,168.42198547825834,125.11110529949323,674.3552127124431,124.5261289526808,0.9824990639060447
constant_ecm,train,A002_10_+5C,DYNdata/A002_DYN/A002_DYN_10_P05.mat,5,10,37360,training_fit,0.923822915841143,-0.32384528160408665,0.04943513107847697,0.923822915841143,1.0,37.40945273190027,29.03685889627571,173.73298935316006,23.66272034543995,0.9280047064073332
constant_ecm,train,A002_10_+15C,DYNdata/A002_DYN/A002_DYN_10_P15.mat,15,10,37360,training_fit,0.9352993077993063,-0.3497303650267835,0.054447109968646545,0.9352993077993063,1.0,28.435362886040977,22.22359002062146,186.7891292356578,17.7628623187557,0.7394741834172958
constant_ecm,train,A002_10_+45C,DYNdata/A002_DYN/A002_DYN_10_P45.mat,45,10,37360,training_fit,0.9477895439863182,-0.35136009031843446,0.06960415047103752,0.9477895439863182,1.0,18.20022230126299,13.921822806032871,184.49780229185552,10.914051022981274,0.4688347266806253
constant_ecm,train,A002_15_-5C,DYNdata/A002_DYN/A002_DYN_15_N05.mat,-5,15,37360,training_fit,0.9091479467122779,-0.33231220427785846,0.03454613998189071,0.9091479467122779,1.0,60.959796923642195,45.068300367937944,217.82180259458795,34.71690752281149,0.9464900346294052
constant_ecm,validation_temperature,A002_15_-15C,DYNdata/A002_DYN/A002_DYN_15_N15.mat,-15,15,37360,prefix_output_error,0.98,-0.28595337974872853,0.10636804492140428,0.98,1.0,168.47639586148495,123.70078841782792,717.1114207605572,121.63361341526662,0.9866214931971029
constant_ecm,validation_temperature,A002_20_-15C,DYNdata/A002_DYN/A002_DYN_20_N15.mat,-15,20,37360,prefix_output_error,0.98,-0.26601689930636585,0.10588108887532754,0.98,1.0,168.7722022758728,121.19401035319285,761.8621013626954,116.23346879605097,0.9707430382878082
constant_ecm,train,A002_20_+25C,DYNdata/A002_DYN/A002_DYN_20_P25.mat,25,20,37360,training_fit,0.9435165837658768,-0.3137658483815712,0.06605834939024635,0.9435165837658768,1.0,24.09606488155029,18.15939418435118,163.21082667234822,14.135697851400444,0.6389736494170668
constant_ecm,test_high_amplitude,A002_50_+25C,DYNdata/A002_DYN/A002_DYN_50_P25.mat,25,50,39460,prefix_output_error,0.98,-0.3881632858563011,0.15983632560968197,0.98,1.0,37.41936992069095,29.125921833872148,178.73743889606519,25.951612632768743,0.8302445716939645
constant_ecm,test_cell_transfer,A003_25_+25C,DYNdata/A002_DYN/A003_DYN_25_P25.mat,25,25,47086,prefix_output_error,0.98,-0.3782934885424527,0.2143915247127619,0.98,1.0,452.9329523034353,260.88010361157126,1348.7620120833599,259.86543223395415,1.136611531140425
