model,tau_s,dynamic_gain_ohm,test_cell_transfer_rmse_mv,test_cell_transfer_improvement_percent,test_high_amplitude_rmse_mv,test_high_amplitude_improvement_percent,train_rmse_mv,train_improvement_percent,validation_temperature_rmse_mv,validation_temperature_improvement_percent
BATT4c_R0T_qtau20s_no_intercept,20.0,0.014949254974321502,436.2850580136113,0.06420340429214282,19.64346915763581,18.36089526666523,41.14265894793823,1.2044540141805387,71.38897995134568,0.6277340356039024
BATT4c_R0T_qtau50s_no_intercept,50.0,0.016221295236863928,436.28839473978826,0.06343909118448686,21.539622091974323,10.480401920269339,41.135583291653184,1.2214447324220046,71.38454849269397,0.6339025519217987
BATT4c_R0T_qtau100s_no_intercept,100.0,0.01689429189431583,436.2821879778235,0.06486081693427463,22.4500995069826,6.696418528908814,41.14406704352685,1.2010727652278579,71.40559509517027,0.6046060333226035
BATT4c_R0T_qtau200s_no_intercept,200.0,0.017363923387553284,436.2695624171052,0.06775283774653634,23.04467689596445,4.22532926551904,41.190597287269235,1.0893400539026408,71.44604694679968,0.5482977324950811
BATT4c_R0T_qtau500s_no_intercept,500.0,0.01452869166853324,436.2986720912233,0.06108495302713029,23.64741566090094,1.7203209717898662,41.420356853965245,0.5376201987051149,71.68306421713693,0.2183736567881532
BATT4c_R0T_qtau1000s_no_intercept,1000.0,0.009743947470198844,436.3581579114365,0.04745908452679753,23.89991226897594,0.6709341824185137,41.569974653675786,0.178344143399492,71.83008664994217,0.013720889576568331
