trajectory_id,split,x0,model,nrmse_all,nrmse_biomass,nrmse_substrate
train_wide_2,train_wide,"[0.04, 0.75]",B3_slot_polynomial,0.007300878909239699,0.007328955882676229,0.007328955882675122
train_wide_2,train_wide,"[0.04, 0.75]",B5_sindy_pi_rational_slot,2.407607206623977e-16,3.724582053086404e-16,1.8471012103856e-16
train_wide_2,train_wide,"[0.04, 0.75]",B4_oracle_reference,0,0,0
train_wide_3,train_wide,"[0.055, 1.0]",B0_constant_rate,1.725485345231966,1.726700495193863,1.726700495193865
train_wide_3,train_wide,"[0.055, 1.0]",B0_gain_scheduled_lookup,0.1986983064700104,0.1988382370931244,0.1988382370931275
train_wide_3,train_wide,"[0.055, 1.0]",B1_full_sindy,0.007150228379228951,0.007155263831869248,0.007155263831873132
train_wide_3,train_wide,"[0.055, 1.0]",B2_free_residual_sindy,0.007150228379234185,0.007155263831877512,0.007155263831877452
train_wide_3,train_wide,"[0.055, 1.0]",B1R_rational_full_vector_field,1.627975608282813e-16,0,1.859270154975761e-16
train_wide_3,train_wide,"[0.055, 1.0]",B3_slot_polynomial,0.01206849560435246,0.01207699468086608,0.01207699468086724
train_wide_3,train_wide,"[0.055, 1.0]",B5_sindy_pi_rational_slot,8.507977950431347e-17,1.537441739291901e-16,4.786695705898744e-17
train_wide_3,train_wide,"[0.055, 1.0]",B4_oracle_reference,0,0,0
train_wide_4,train_wide,"[0.05, 1.65]",B0_constant_rate,1.663673673292258,1.671855458755116,1.671855458755114
train_wide_4,train_wide,"[0.05, 1.65]",B0_gain_scheduled_lookup,0.09429343598492529,0.09475716194042245,0.09475716194042351
train_wide_4,train_wide,"[0.05, 1.65]",B1_full_sindy,0.004093513284783266,0.00411364478534298,0.004113644785343283
train_wide_4,train_wide,"[0.05, 1.65]",B2_free_residual_sindy,0.004093513284777384,0.00411364478533749,0.004113644785337247
train_wide_4,train_wide,"[0.05, 1.65]",B1R_rational_full_vector_field,7.963137103572885e-17,1.267847752986116e-16,5.897704775061092e-17
train_wide_4,train_wide,"[0.05, 1.65]",B3_slot_polynomial,0.05083499604584987,0.05108499761666957,0.05108499761666792
train_wide_4,train_wide,"[0.05, 1.65]",B5_sindy_pi_rational_slot,7.958008168286254e-17,1.267847752986116e-16,5.888591739594072e-17
train_wide_4,train_wide,"[0.05, 1.65]",B4_oracle_reference,0,0,0
test_interp_0,test_interp,"[0.052, 0.6]",B0_constant_rate,1.662645297621371,1.67034276604758,1.67034276604758
test_interp_0,test_interp,"[0.052, 0.6]",B0_gain_scheduled_lookup,0.3937692684408695,0.395592282955972,0.3955922829559751
test_interp_0,test_interp,"[0.052, 0.6]",B1_full_sindy,0.01600342997388773,0.01607752027872501,0.01607752027872345
test_interp_0,test_interp,"[0.052, 0.6]",B2_free_residual_sindy,0.01600342997388286,0.01607752027871752,0.01607752027871932
test_interp_0,test_interp,"[0.052, 0.6]",B1R_rational_full_vector_field,5.057749107828464e-17,0,5.798987068885839e-17
test_interp_0,test_interp,"[0.052, 0.6]",B3_slot_polynomial,0.01094607846323014,0.01099675499266403,0.01099675499266284
test_interp_0,test_interp,"[0.052, 0.6]",B5_sindy_pi_rational_slot,1.041619211388239e-16,1.921077961058098e-16,5.566874967693177e-17
test_interp_0,test_interp,"[0.052, 0.6]",B4_oracle_reference,0,0,0
test_interp_1,test_interp,"[0.07, 1.2]",B0_constant_rate,1.774797966019367,1.787507732614345,1.787507732614342
test_interp_1,test_interp,"[0.07, 1.2]",B0_gain_scheduled_lookup,0.1455335172817161,0.1465757187445382,0.1465757187445364
test_interp_1,test_interp,"[0.07, 1.2]",B1_full_sindy,0.002256543938787641,0.002272703607281036,0.002272703607280796
test_interp_1,test_interp,"[0.07, 1.2]",B2_free_residual_sindy,0.002256543938788149,0.002272703607281838,0.002272703607281223
test_interp_1,test_interp,"[0.07, 1.2]",B1R_rational_full_vector_field,3.15735360664183e-17,0,3.629201620479299e-17
test_interp_1,test_interp,"[0.07, 1.2]",B3_slot_polynomial,0.003839704131438252,0.003867201201096742,0.003867201201098919
test_interp_1,test_interp,"[0.07, 1.2]",B5_sindy_pi_rational_slot,3.092802072274379e-16,6.453374219732177e-16,2.003029538184831e-17
test_interp_1,test_interp,"[0.07, 1.2]",B4_oracle_reference,0,0,0
test_interp_2,test_interp,"[0.045, 1.45]",B0_constant_rate,1.6443751855499,1.656401525652139,1.656401525652138
test_interp_2,test_interp,"[0.045, 1.45]",B0_gain_scheduled_lookup,0.1164396592821615,0.1172912550470585,0.1172912550470585
test_interp_2,test_interp,"[0.045, 1.45]",B1_full_sindy,0.01680356096893873,0.01692645587815382,0.01692645587815181
test_interp_2,test_interp,"[0.045, 1.45]",B2_free_residual_sindy,0.01680356096893971,0.01692645587815306,0.01692645587815332
test_interp_2,test_interp,"[0.045, 1.45]",B1R_rational_full_vector_field,2.020294489157041e-16,4.22280416003485e-16,1.0715719352531e-18
test_interp_2,test_interp,"[0.045, 1.45]",B3_slot_polynomial,0.01787838009562482,0.01800913582667622,0.01800913582667442
test_interp_2,test_interp,"[0.045, 1.45]",B5_sindy_pi_rational_slot,1.225207059519806e-16,2.558282791270879e-16,6.421627672340177e-18
test_interp_2,test_interp,"[0.045, 1.45]",B4_oracle_reference,0,0,0
test_extrap_0,test_extrap,"[0.05, 0.08]",B0_constant_rate,0.7722762191505482,1.164888236919797,1.16488823691981
test_extrap_0,test_extrap,"[0.05, 0.08]",B0_gain_scheduled_lookup,0.9512810168545341,1.434896011375091,1.434896011375094
test_extrap_0,test_extrap,"[0.05, 0.08]",B1_full_sindy,0.09494355802916672,0.1432112386435208,0.143211238643528
test_extrap_0,test_extrap,"[0.05, 0.08]",B2_free_residual_sindy,0.09494355802913973,0.1432112386434704,0.1432112386434901
test_extrap_0,test_extrap,"[0.05, 0.08]",B1R_rational_full_vector_field,0,0,0
test_extrap_0,test_extrap,"[0.05, 0.08]",B3_slot_polynomial,0.06199798900866626,0.09351670596347074,0.09351670596346413
test_extrap_0,test_extrap,"[0.05, 0.08]",B5_sindy_pi_rational_slot,0,0,0
test_extrap_0,test_extrap,"[0.05, 0.08]",B4_oracle_reference,0,0,0
test_extrap_1,test_extrap,"[0.055, 2.25]",B0_constant_rate,1.646038658750565,1.65854381744126,1.658543817441262
test_extrap_1,test_extrap,"[0.055, 2.25]",B0_gain_scheduled_lookup,0.0847940924049424,0.08543828358230049,0.08543828358230045
test_extrap_1,test_extrap,"[0.055, 2.25]",B1_full_sindy,1.682158979339132,1.694938548559969,1.694938548559921
test_extrap_1,test_extrap,"[0.055, 2.25]",B2_free_residual_sindy,1.682158979339156,1.694938548559971,1.694938548559951
test_extrap_1,test_extrap,"[0.055, 2.25]",B1R_rational_full_vector_field,1.673520793789536e-16,2.951951624167237e-16,1.033209452706808e-16
test_extrap_1,test_extrap,"[0.055, 2.25]",B3_slot_polynomial,1.819286814690957,1.833108160988418,1.83310816098842
test_extrap_1,test_extrap,"[0.055, 2.25]",B5_sindy_pi_rational_slot,5.099044194337235e-19,0,5.863603035567394e-19
test_extrap_1,test_extrap,"[0.055, 2.25]",B4_oracle_reference,0,0,0
test_extrap_2,test_extrap,"[0.08, 2.6]",B0_constant_rate,1.739265759417415,1.739344388616751,1.739344388616753
test_extrap_2,test_extrap,"[0.08, 2.6]",B0_gain_scheduled_lookup,0.1026570824620274,0.1026617234113213,0.102661723411323
test_extrap_2,test_extrap,"[0.08, 2.6]",B1_full_sindy,1.867935797685675,1.868020243835179,1.868020243835058
test_extrap_2,test_extrap,"[0.08, 2.6]",B2_free_residual_sindy,1.867935797685744,1.86802024383518,1.868020243835147
test_extrap_2,test_extrap,"[0.08, 2.6]",B1R_rational_full_vector_field,5.09513841122613e-16,8.728780648616119e-16,3.281548719797674e-16
test_extrap_2,test_extrap,"[0.08, 2.6]",B3_slot_polynomial,1.964215360703233,1.964304159485308,1.964304159485306
test_extrap_2,test_extrap,"[0.08, 2.6]",B5_sindy_pi_rational_slot,5.660633906712966e-16,1.151080338594404e-15,1.287891631777882e-16
test_extrap_2,test_extrap,"[0.08, 2.6]",B4_oracle_reference,0,0,0
