model,split,scenario,n_samples,derivative_rmse_c,derivative_nrmse,derivative_mae_c,derivative_bias_c,rollout_rmse_c,rollout_nrmse,rollout_mae_c,rollout_bias_c
B0_fixed_envelope,train,Base_Heating,9918,3.664665238220682e-05,0.843995668635142,2.2088557776611068e-05,-2.7110520142811565e-20,1.3874634261638084,4.188801069531563,1.1104258069452002,0.8100181271006672
B0_fixed_envelope,test,Base_Cooling,9920,6.533870604299874e-05,1.5307696999629126,5.974866831854808e-05,-5.209627405527801e-05,38.9812951174663,225.26934696578624,31.0685363617469,-31.068490496265646
B3_weather_adaptive_envelope_slot,train,Base_Heating,9918,3.637507355353559e-05,0.8377410358053555,2.256878304474273e-05,-7.695889588927153e-21,0.9171043548911965,2.7687704268081736,0.7735108904347409,0.3048880884450857
B3_weather_adaptive_envelope_slot,test,Base_Cooling,9920,6.375656199760689e-05,1.493702878283451,5.812973570701552e-05,-4.9716096126960155e-05,35.76992360787897,206.7111240886524,28.450188951779072,-28.450142123872542
B1_full_linear_features,train,Base_Heating,9918,3.3345266215896156e-05,0.7679626494169652,2.147395235581117e-05,2.1391074925586157e-19,0.13328037206041254,0.40237814886250406,0.10439941267296525,0.004709757860474989
B1_full_linear_features,test,Base_Cooling,9920,4.7474648739999776e-05,1.1122466024923867,2.8842555052574895e-05,1.3239565024011745e-05,0.2837323392132502,1.6396632942809783,0.2138760668326505,0.18500766580460892
